,SquareFootage,NumBathrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,PreviousSalePrice
42,666.73,2.367301824,658.54,30.58,4.24,28.32,21.11,92.79,2.02,4.35,9.26,128237.968
43,1454.19,3.084477983,640.5,10.7,8.36,80.34,7.35,88.73,1.9,5.34,5.28,142388.0598
44,701.73,1.603980999,722.35,51.91,6.36,39.1,24.89,99.9,1.86,4.03,7.87,48779.107
45,757.7,2.438445708,314.53,20.76,9.81,56.33,7.18,99.47,1.37,4.15,4.63,154916.1763
46,550.0,1.0,576.18,50.25,5.63,1.6,18.78,91.75,1.86,1.27,6.83,381.1989165
47,550.0,2.766672323,382.59,25.47,7.55,115.79,24.57,93.9,1.72,3.47,8.45,215962.4519
48,732.21,2.389982559,102.03,0.35,6.63,20.33,19.03,91.18,1.26,3.02,3.0,164179.0173
49,735.97,1.0,144.0,43.21,5.99,90.38,45.42,98.31,2.02,3.53,1.57,143456.558
50,1423.83,2.126659257,62.69,35.01,6.37,64.17,28.83,97.52,1.37,3.42,4.43,185449.727
51,899.53,2.985726622,328.43,4.05,9.92,27.81,16.74,93.74,0.62,5.61,9.12,279262.1358
52,1608.13,1.0,751.05,33.09,5.65,37.3,7.78,97.45,1.22,5.52,6.77,281459.367
53,862.32,3.684301142,224.59,0.17,6.17,13.28,38.71,94.91,0.98,2.85,2.7,222800.7207
54,550.0,1.887114507,1101.84,8.17,6.92,20.42,9.71,97.61,1.07,5.38,9.74,4456.296767
55,862.01,1.758235302,249.1,0.3,8.7,33.68,4.06,87.54,1.23,5.96,6.21,87417.61365
56,550.0,1.0,492.37,37.45,5.9,53.11,11.73,87.58,1.69,2.16,6.13,59000.08929
57,940.02,2.292306875,595.3,17.77,5.49,16.67,9.26,99.9,1.34,2.44,6.77,76085.04288
58,550.0,2.061927122,136.88,25.14,4.1,98.56,22.28,90.32,2.47,1.52,5.18,20875.65572
59,550.0,1.107970784,244.84,44.41,9.15,42.51,9.59,87.68,2.05,7.13,0.42,68329.73167
60,989.32,1.189819741,525.88,21.41,7.99,50.54,30.11,89.56,1.55,3.33,0.99,137862.4402
61,550.0,1.748838273,279.77,23.71,6.43,10.11,29.45,88.13,1.2,3.99,3.9,24010.94675
62,1135.53,1.0,638.61,39.12,8.08,21.53,28.42,93.83,1.13,3.91,3.79,90044.63194
63,826.35,1.0,667.2,13.62,6.84,52.03,9.4,91.92,0.42,4.99,0.12,160419.296
64,1161.75,1.464104387,927.64,16.95,10.0,101.8,8.48,89.06,1.09,4.65,2.29,387123.6983
65,972.44,1.151764321,181.58,72.18,7.29,38.06,35.95,94.53,1.51,4.36,3.3,191925.6804
66,636.83,2.224104889,195.19,1.6,7.65,21.26,25.34,94.62,1.94,6.28,4.35,267340.8848
67,1281.0,1.026502113,12.43,18.25,5.64,18.85,11.84,94.81,1.49,3.05,6.22,151408.9427
68,736.55,1.461133734,458.72,33.88,9.02,48.02,7.02,91.84,1.74,5.55,10.0,-3876.394708
69,998.18,2.025042343,358.05,4.74,6.82,79.88,4.86,83.21,1.79,5.07,5.78,344306.9524
70,1487.28,1.0,160.18,15.28,7.12,64.99,9.46,95.94,1.49,6.06,8.25,221990.5057
71,550.0,1.0,68.17,63.39,4.12,46.67,3.82,85.23,1.82,3.23,6.63,175721.8305
72,550.0,1.502869262,349.55,39.72,4.56,107.8,21.23,92.7,1.51,5.93,6.95,129518.3305
73,1347.17,1.0,376.98,20.52,6.27,30.51,24.99,88.96,0.64,2.67,5.99,161970.1401
74,1113.68,1.655995692,911.15,7.55,10.0,74.51,16.44,87.11,1.01,7.8,3.89,313352.88
75,550.0,2.512785685,527.12,22.66,6.29,14.44,47.86,96.2,1.25,4.34,2.45,159308.6831
76,852.25,1.0,522.58,83.85,3.93,149.93,22.48,89.69,1.66,5.26,7.6,29838.92482
77,916.71,1.389641144,579.87,28.83,4.29,27.64,8.22,83.99,1.95,3.33,1.44,151737.7956
78,794.53,2.09065174,510.42,6.72,6.92,22.19,33.23,92.87,1.08,4.86,5.09,40286.07127
79,1156.67,1.930554319,484.04,30.35,7.04,60.91,14.63,99.9,1.14,2.17,3.12,373250.4189
80,1420.65,3.002882093,897.0,25.05,8.02,125.22,0.55,99.9,1.57,5.41,7.22,292933.0497
81,806.38,1.192640201,833.94,15.79,3.63,93.14,37.27,89.26,1.33,3.31,5.88,169236.9098
82,550.0,1.814669984,802.1,17.39,7.88,74.58,21.37,82.0,2.57,3.19,2.75,207038.5091
83,550.0,2.322188274,406.06,28.88,5.19,54.2,20.71,96.16,1.3,3.94,4.65,40438.92549
84,853.71,1.0,319.26,42.17,2.78,37.3,17.74,96.17,0.83,1.46,5.1,151186.7165
85,946.9,1.165890982,596.87,25.8,6.08,120.73,26.67,97.35,1.82,1.35,5.44,38906.05314
86,1030.3,1.548419507,248.55,28.43,5.41,50.32,1.85,98.05,1.96,1.02,5.83,140904.0933
87,550.0,2.217590745,65.08,42.04,5.86,116.05,20.0,86.07,1.57,1.47,7.12,183307.6768
88,550.0,1.0,716.74,17.56,3.36,71.11,21.42,84.46,1.5,2.2,8.13,184556.5177
89,1065.11,3.574403809,950.21,37.43,6.85,77.58,18.98,91.82,1.58,6.38,8.57,419170.9819
90,550.0,2.496751928,656.92,56.88,6.69,62.6,39.67,85.59,2.09,4.39,2.51,110679.685
91,550.0,2.27419848,310.37,33.49,5.49,49.59,18.33,99.9,1.4,3.49,3.11,171259.3521
92,826.08,3.119365868,340.94,70.57,3.63,7.51,8.48,91.82,1.66,0.34,7.35,109298.8332
93,550.0,1.686046962,140.94,24.9,7.52,31.11,24.4,95.55,1.73,4.98,5.01,44002.73589
94,1017.03,3.680326224,478.38,23.05,6.78,80.57,10.37,99.9,2.71,4.46,8.72,169135.407
95,550.0,1.699870206,433.46,42.42,5.69,59.29,44.73,97.08,1.93,1.17,1.62,132360.3442
96,1133.6,2.093666497,396.68,46.01,5.12,63.23,25.22,93.79,1.05,3.41,2.46,262243.3169
97,550.0,1.766305313,434.12,72.52,7.95,73.42,39.25,99.9,1.17,3.95,4.2,107219.9294
98,1136.23,1.88214982,634.95,54.97,6.07,19.17,6.92,95.79,1.72,5.6,5.85,324830.0812
99,786.83,1.48678955,459.72,33.12,7.45,65.18,8.71,99.33,0.63,4.81,7.53,342677.9211
100,648.96,1.0,817.19,21.12,5.83,18.85,3.02,98.19,1.51,2.09,3.67,18473.72053
101,550.0,2.128441855,242.04,55.31,2.58,49.47,16.98,90.5,1.59,1.55,0.03,151431.0376
102,561.26,1.0,1131.07,34.14,4.99,103.38,21.56,96.64,2.09,1.78,3.11,89907.38454
103,1054.14,1.8262287,308.78,44.33,8.16,46.52,22.4,98.67,1.46,5.07,7.51,285593.5007
104,579.98,1.0,540.09,18.15,4.23,6.39,14.08,94.43,2.03,2.34,4.53,152352.5201
105,550.0,1.977486138,111.94,12.29,3.95,120.76,2.74,91.45,1.88,6.2,6.56,110438.1777
106,924.7,1.0,918.36,34.02,8.07,82.47,1.9,88.95,1.6,3.47,5.94,187464.9641
107,908.42,1.0,14.54,48.12,7.15,51.58,27.84,92.13,1.58,3.63,5.6,77579.26262
108,997.36,1.0,1315.33,24.39,9.29,6.16,15.9,87.17,1.47,6.04,4.43,142396.856
109,550.0,1.459498305,956.66,28.22,4.92,18.07,1.2,99.9,1.99,1.41,6.3,146499.1281
110,725.74,1.0,710.46,23.4,6.55,42.88,3.28,95.48,1.17,5.18,1.62,156556.7193
111,795.13,1.303982161,1110.65,46.56,6.55,35.57,11.55,92.9,1.87,5.19,5.27,168800.3902
112,550.0,1.191058646,171.47,48.97,5.62,83.77,34.55,92.42,1.94,3.81,3.41,142314.3466
113,691.66,1.972219017,41.14,22.34,5.76,46.06,8.27,89.72,1.05,2.68,5.44,18902.83481
114,550.0,2.259703602,473.24,43.0,5.64,47.87,13.28,92.19,1.36,5.21,4.23,315535.8507
115,550.0,2.150576681,464.48,17.37,6.05,58.57,9.18,96.32,0.75,2.36,5.45,31465.79415
116,550.0,1.052838097,570.12,4.84,9.51,72.2,18.78,99.9,0.94,6.05,8.36,73744.28124
117,757.36,1.679646996,613.27,23.72,8.47,10.25,11.93,96.15,1.07,6.28,0.58,205286.879
118,1305.82,2.575147827,347.3,41.32,4.83,15.75,19.05,98.87,1.93,4.08,7.12,290575.371
119,1241.82,1.0,352.69,23.26,6.07,104.92,8.72,95.16,2.34,7.54,7.92,201159.4678
120,550.0,1.058823299,404.19,45.38,2.95,49.09,15.7,92.05,2.03,4.13,2.1,119905.8368
121,576.05,1.0,705.36,33.8,4.28,0.2,6.39,86.57,2.08,4.03,9.94,37781.33227
122,620.25,2.754721278,387.32,5.02,8.27,9.51,20.1,92.78,1.8,3.53,8.66,228638.1768
123,802.52,1.0,631.97,24.02,10.0,17.9,44.87,99.9,1.31,3.41,8.62,222273.5201
124,550.0,3.921931003,1043.79,46.13,7.36,52.41,5.03,91.57,0.98,6.68,4.6,141694.2808
125,776.93,1.0,472.79,4.44,4.11,34.78,17.72,99.9,1.93,6.11,0.97,221796.2177
126,550.0,1.117693286,845.92,24.96,4.66,47.69,25.87,90.98,1.7,1.4,3.76,161706.7611
127,550.0,3.038980425,223.9,30.03,7.24,34.92,12.52,91.52,2.06,4.86,10.0,178039.5233
128,1765.19,1.0,1019.86,41.8,5.98,7.49,9.99,86.42,2.04,5.84,9.81,209479.8954
129,550.0,1.964345957,776.89,31.33,6.65,90.6,27.33,87.16,0.99,7.15,7.26,112989.8892
130,607.24,1.722275429,516.29,19.77,7.13,42.67,24.79,89.61,1.56,5.25,2.37,37158.51351
131,706.65,1.225752027,346.58,54.6,2.92,36.93,21.73,92.57,1.83,2.3,8.12,145196.911
132,550.0,2.020616461,111.62,35.94,6.18,54.93,4.39,89.65,1.3,1.87,6.37,178417.543
133,1360.01,1.788751584,165.16,37.04,4.89,77.89,10.63,88.16,1.85,3.75,3.83,205424.9541
134,924.31,1.0,860.94,47.7,7.23,87.08,0.22,91.73,1.27,2.23,2.28,160488.2633
135,664.28,1.565668607,392.33,39.91,8.76,3.48,10.55,96.26,1.24,4.22,2.45,15496.4411
136,909.24,1.269679965,432.83,44.97,4.53,29.12,11.26,96.61,1.87,5.59,3.91,147047.6584
137,562.66,1.369973755,1033.7,31.32,7.11,39.75,15.11,98.52,1.37,6.25,6.98,187029.6332
138,804.09,2.954551785,149.62,61.74,8.01,93.6,23.34,93.91,1.87,6.04,6.73,200915.5985
139,759.92,1.0,237.53,19.42,6.78,72.37,20.92,99.9,2.22,5.45,7.11,175073.5731
140,835.7,2.350892168,165.64,9.56,2.03,57.16,31.11,92.54,1.97,0.97,1.17,215361.784
141,693.51,1.0,122.93,35.38,5.48,112.63,11.79,88.96,1.56,2.32,0.72,197034.3485
142,550.0,1.0,108.1,72.88,4.81,105.65,10.26,85.66,2.24,2.18,10.0,123963.222
143,589.27,2.242666173,261.54,13.26,8.42,4.68,12.52,99.13,1.95,7.04,7.79,387208.5521
144,550.0,1.0,274.41,4.6,6.99,25.09,26.43,95.17,1.55,5.61,6.2,112568.3776
145,1244.05,1.0,474.75,23.75,6.48,50.35,10.24,90.92,1.67,3.81,7.93,58549.71219
146,1159.37,1.269122208,136.99,42.57,8.61,12.0,9.26,99.9,1.25,6.77,6.48,149929.4724
147,1434.23,2.343958386,1098.97,7.96,9.04,61.85,17.43,99.9,1.33,5.21,4.51,257906.3357
148,1493.56,3.05005447,587.84,64.1,3.94,89.79,14.7,93.37,1.86,3.94,5.84,283925.4965
149,550.0,1.0,499.04,68.61,7.11,31.79,22.87,86.13,1.49,5.05,10.0,227155.8673
150,806.32,2.393869424,213.07,15.42,7.84,23.42,29.33,99.9,1.82,4.08,4.56,195682.1267
151,747.84,2.384521121,692.21,39.76,3.11,114.59,47.56,82.72,1.42,2.29,5.64,176854.7575
152,1343.88,3.166101289,1154.36,5.55,9.5,41.82,17.39,99.9,1.61,7.63,3.54,361421.1863
153,911.59,1.495811696,289.95,15.46,5.42,69.3,2.57,85.69,1.17,3.4,8.86,193927.5632
154,1002.01,1.940273697,755.42,19.42,6.24,60.79,5.38,95.83,1.99,1.75,5.28,242087.3562
155,550.0,1.0,713.41,41.03,8.82,12.94,11.16,95.58,1.71,2.33,10.0,43526.97574
156,1030.86,1.281494767,64.67,42.58,10.0,36.79,39.14,87.08,2.11,6.41,7.28,257113.1606
157,1334.59,1.813780622,494.99,32.99,4.99,67.87,26.08,86.65,1.74,6.08,2.59,292967.7695
158,786.48,3.488486693,247.96,34.43,7.33,58.07,26.77,99.15,1.26,0.18,5.69,61155.96443
159,1069.19,1.812709571,397.15,1.27,8.23,26.75,20.25,94.8,2.28,6.08,3.68,239953.26
160,1069.43,2.526355733,624.27,7.39,7.9,54.85,2.94,97.53,1.68,2.91,6.86,225277.9732
161,550.0,1.475411497,571.2,14.35,8.28,56.73,37.18,95.55,2.18,6.42,6.22,54711.92739
162,652.06,1.369922378,468.82,14.55,7.35,76.46,26.9,97.01,0.99,6.45,4.54,186561.027
163,1005.09,2.620519967,570.17,35.63,8.9,10.08,19.38,99.9,1.78,4.64,6.5,204595.6187
164,550.0,1.0,111.19,17.01,1.26,26.61,27.84,95.61,2.15,3.17,2.13,32747.97897
165,1401.07,1.149113796,861.91,6.95,7.3,19.51,13.62,96.16,1.15,5.91,0.82,140428.5889
166,550.0,3.318284837,720.95,35.34,10.0,45.91,10.92,99.9,1.15,8.28,6.1,286119.1079
167,626.39,1.0,304.24,28.35,7.64,41.71,13.39,98.33,2.08,5.32,2.11,151235.7966
168,550.0,3.258431022,516.81,47.88,6.44,90.79,5.09,88.33,1.35,5.57,8.66,161310.6784
169,657.23,2.184482264,782.02,17.02,3.5,94.0,27.36,96.85,1.76,1.24,2.52,189534.766
170,550.0,3.892309746,714.65,32.36,3.52,14.14,17.34,95.25,1.88,5.12,5.66,36617.13028
171,636.04,1.032646517,150.3,20.56,5.68,91.23,17.58,99.9,1.99,5.25,10.0,70039.72972
172,1381.83,1.982966373,768.86,6.93,8.27,38.1,2.17,96.32,1.69,7.72,6.65,431628.5128
173,1185.85,3.06422595,389.82,49.18,8.07,0.21,10.85,89.4,1.21,7.24,6.62,146537.4307
174,676.56,2.629331952,552.24,30.05,5.22,12.6,18.77,91.51,2.24,5.0,8.67,88357.67291
175,901.6,1.452001866,628.48,25.15,8.26,19.82,15.34,99.9,0.67,6.1,4.74,155406.0548
176,585.81,2.0188942,873.1,59.58,5.41,93.09,0.59,91.52,0.91,2.81,5.71,134750.1853
177,941.24,3.155240375,616.89,11.42,10.0,73.0,13.75,97.38,1.73,3.51,2.65,154641.3518
178,667.26,2.218261739,173.38,39.11,7.45,68.14,19.03,99.15,1.69,3.39,4.67,41238.17882
179,833.92,1.0,444.51,5.89,8.18,91.77,15.45,99.41,1.62,4.1,8.5,30074.74031
180,641.56,2.468336933,515.97,22.57,7.85,24.86,43.79,99.9,1.31,3.18,5.82,316166.1518
181,1013.37,3.631592588,680.55,9.15,9.39,64.02,11.07,90.67,1.51,6.17,6.18,399524.6937
182,550.0,1.0,547.36,30.58,4.14,39.77,29.33,97.35,2.48,3.79,7.99,281810.354
183,550.0,2.567243569,447.96,29.21,4.81,48.11,15.24,98.08,1.34,2.4,9.2,89371.89663
184,767.17,1.881860216,398.64,34.73,5.52,21.4,6.3,97.08,1.76,6.1,7.38,250240.374
185,550.0,1.0,603.45,26.64,5.04,54.07,40.13,89.58,1.79,0.57,0.66,109311.4591
186,566.9,2.554960145,871.89,80.58,6.16,10.08,2.83,91.08,1.77,3.62,3.46,84105.99162
187,550.0,3.042368646,240.37,44.36,5.44,0.76,30.79,87.81,1.39,2.41,4.4,298070.1418
188,799.86,1.377026893,405.79,12.91,8.53,79.72,5.26,99.9,1.61,3.39,8.07,141135.9924
189,956.85,1.0,517.38,8.61,6.14,75.24,6.85,97.72,0.81,7.62,9.49,117395.2248
190,550.0,2.107222655,62.64,63.69,4.39,63.64,27.59,82.41,1.43,1.73,4.41,7345.598134
191,1006.58,1.0,767.78,12.09,3.26,91.85,58.91,87.91,1.26,5.47,5.28,152571.5274
192,958.82,1.047291764,475.59,48.48,6.32,36.82,6.98,88.73,1.88,4.73,4.79,167208.1095
193,1645.47,1.552318321,911.68,22.7,10.0,87.0,16.97,99.9,1.06,7.36,6.53,341715.2682
194,1372.17,1.344599233,873.65,25.83,4.37,35.49,9.06,96.34,1.49,3.59,7.09,169037.4984
195,550.0,4.998606692,519.1,23.41,7.15,55.3,5.52,86.12,0.53,7.09,4.58,480559.1
196,550.0,1.300354412,324.23,49.83,3.94,70.19,15.66,96.02,1.76,2.49,4.62,371648.4558
197,550.0,1.0,628.14,10.55,4.65,59.46,14.52,88.53,1.24,0.62,7.68,28432.10261
198,991.12,2.694417042,337.75,14.97,6.42,59.7,36.56,84.24,1.16,5.13,4.59,439363.528
199,629.97,1.0,102.9,59.2,5.54,113.3,13.36,98.05,1.12,2.48,2.37,75361.61746
200,1688.74,2.099405174,108.4,43.37,3.92,48.56,27.05,82.71,2.23,0.63,0.05,3553.746834
201,1152.7,2.656206488,725.39,49.57,6.19,57.15,35.82,95.51,0.78,5.42,4.26,231907.9277
202,1821.56,1.867427472,478.89,41.12,8.53,38.08,2.02,93.86,1.49,7.4,9.78,373974.9497
203,550.0,1.27159703,12.93,19.18,4.74,33.46,19.83,86.3,1.92,3.95,1.82,37069.30607
204,782.82,1.0,741.57,18.11,7.25,74.09,18.7,92.02,1.0,5.7,0.79,215878.5637
205,574.11,1.761876553,513.85,38.11,8.99,73.78,27.57,86.02,2.05,4.9,5.47,6834.437849
206,732.31,1.605698581,617.27,37.07,7.01,97.95,4.47,98.74,1.07,3.85,5.69,10130.27321
207,1158.98,1.0,126.54,23.96,10.0,84.29,20.01,99.9,1.36,7.03,0.8,164522.6787
208,621.08,2.825453734,418.29,42.04,5.17,61.33,32.44,96.56,2.23,4.74,7.02,98052.37476
209,1122.2,1.0,207.03,8.49,5.17,28.57,13.84,85.73,0.82,4.11,5.88,102190.9602
210,1160.18,1.059622618,397.18,31.83,5.17,68.72,49.47,93.25,1.68,3.61,2.02,14217.99082
211,1251.57,2.121843715,860.35,38.4,9.35,46.6,12.76,90.13,1.58,5.19,9.15,168781.1521
212,991.61,1.616237939,630.77,26.79,6.92,3.28,28.1,96.33,2.02,3.39,7.22,100327.5164
213,638.03,1.0,795.57,33.65,8.44,43.74,31.42,94.1,1.91,3.28,4.85,121966.0905
214,550.0,1.503746425,185.79,29.97,8.27,138.4,47.85,92.38,2.45,4.72,6.35,101077.8511
215,550.0,1.837848466,210.65,53.64,5.56,58.79,36.66,87.7,1.95,3.91,4.46,116173.9285
216,847.12,1.779418392,430.48,14.9,7.37,124.71,18.6,88.31,2.33,6.37,3.16,95786.87268
217,1018.92,1.0,1069.2,60.88,3.63,78.78,39.49,96.42,1.91,3.53,1.49,110643.4367
218,610.18,1.0,323.85,39.15,6.47,64.11,48.7,94.75,1.42,3.99,3.41,138455.4232
219,617.7,1.357642139,337.07,51.47,3.81,77.58,22.41,91.94,0.97,4.86,1.67,94243.94994
220,1000.46,1.0,354.08,37.13,8.46,18.18,26.4,99.9,0.96,6.77,6.02,75254.66871
221,988.32,1.308992909,773.65,41.29,7.05,89.12,15.0,99.37,1.39,3.18,5.41,62001.95613
222,550.7,1.554924069,382.35,12.08,6.22,12.73,7.55,88.78,1.92,1.29,6.69,21940.25647
223,550.0,2.353794177,321.57,51.56,8.12,110.66,24.62,96.84,0.75,2.71,3.69,63898.98939
224,1213.01,1.818171351,451.41,33.95,8.01,102.68,7.17,99.9,1.48,5.84,5.93,306063.4177
225,1360.15,3.029874969,301.75,26.9,6.57,21.62,11.47,91.24,1.58,5.4,2.8,328402.3993
226,1010.8,1.647701768,489.74,5.04,5.97,69.94,18.03,90.33,1.9,5.6,2.8,202999.5634
227,956.19,1.0,620.13,6.59,7.24,70.15,3.54,95.85,1.29,4.81,2.13,40293.74876
228,890.36,2.442325249,495.31,48.44,8.65,49.25,8.52,94.99,1.27,5.42,4.64,265652.2489
229,1013.29,1.0,48.9,38.19,6.09,103.3,17.95,86.94,0.66,2.64,3.42,142606.9605
230,550.0,1.977646983,90.87,26.54,5.32,26.72,10.95,99.26,0.88,4.78,4.77,22034.76737
231,609.19,1.954840203,614.34,56.53,7.3,28.21,13.23,99.9,0.77,6.92,4.91,205016.2211
232,550.0,2.107269413,164.88,38.5,5.04,109.05,25.7,95.18,1.33,0.83,5.93,113890.5036
233,550.0,1.630736148,683.55,34.79,3.92,67.31,18.35,92.99,1.59,0.86,6.94,131603.6608
234,550.0,1.712805655,883.76,53.94,6.33,9.79,3.3,90.46,1.61,1.64,8.03,86611.44972
235,1571.91,1.0,151.85,17.47,5.02,80.12,8.04,93.43,1.36,4.54,0.68,186120.6791
236,1067.85,1.0,429.77,19.06,5.16,30.9,5.59,95.51,1.68,6.22,10.0,172031.378
237,1073.95,3.209491202,663.46,36.18,7.35,59.85,15.17,94.52,1.07,6.17,7.08,330775.3341
238,550.0,2.162152172,399.1,17.64,7.23,56.52,17.41,99.9,1.13,4.02,10.0,56196.92906
239,768.35,2.609231756,740.02,24.76,6.97,31.93,0.9,94.12,0.66,3.1,3.01,267242.6338
240,1335.59,1.605689015,566.17,36.23,9.46,5.54,31.97,97.01,1.27,4.66,6.39,224453.3926
241,550.0,1.748900641,834.41,35.69,4.19,14.31,9.29,99.9,1.42,4.12,4.94,243369.611
242,550.0,1.748030335,116.54,38.98,4.77,152.41,34.54,81.76,1.66,0.75,0.02,13346.80843
243,583.35,1.0,537.69,52.92,6.21,28.93,29.88,97.11,1.56,5.79,7.91,28056.36613
244,764.78,2.910474203,243.89,55.28,5.93,6.86,15.07,93.93,1.27,4.21,5.89,241279.5678
245,550.0,3.951180911,448.54,46.8,6.62,97.74,18.25,95.62,1.15,5.77,3.86,68378.91895
246,550.0,2.949512557,468.29,7.65,6.49,92.63,20.29,91.38,1.21,6.82,5.54,160988.9713
247,614.58,1.0,207.28,37.4,8.37,77.09,10.8,98.25,2.64,6.49,3.97,6235.488942
248,788.46,1.667615282,552.26,15.75,7.29,71.52,21.6,96.97,2.35,3.81,7.14,181671.4879
249,550.0,1.242729989,715.05,6.03,7.04,36.97,34.52,97.55,1.57,3.1,7.4,54874.10554
250,1030.28,1.0,530.0,1.22,7.91,35.43,6.55,96.0,1.37,4.38,10.0,232441.8575
251,1022.56,1.719061818,588.03,42.6,9.69,66.28,38.63,96.55,1.18,6.62,6.08,296868.324
252,748.56,1.0,861.18,46.92,8.99,52.77,35.37,93.94,1.14,4.81,10.0,160492.2693
253,823.43,1.045248324,723.64,13.51,8.06,5.04,30.86,96.3,1.3,5.39,8.13,93361.72987
254,980.17,1.799254386,609.2,34.9,4.58,85.98,19.5,85.14,0.65,7.6,7.87,217650.6843
255,550.0,1.0,266.9,20.45,7.07,15.94,13.91,96.25,1.65,4.67,5.96,170968.988
256,1025.57,2.540399748,81.44,35.25,7.5,8.32,12.64,92.93,0.53,6.51,8.65,142722.0924
