IsLuxury,SquareFootage,NumBathrooms,CrimeRate,SchoolRating,RenovationQuality,LocalAmenities,DistanceToCityCenter,Garage_Yes
0,599.67,1.0,24.42,7.43,3.9,8.6,5.56,False
1,957.72,1.765776311,29.57,5.44,4.55,9.27,32.91,True
0,1138.63,1.341703228,33.56,9.12,7.95,1.97,22.38,False
0,550.0,1.929369121,20.34,6.23,5.27,0.44,38.42,False
0,550.0,1.0,53.61,6.23,0.76,6.42,32.04,False
1,1337.26,2.600733521,20.92,8.32,7.11,6.22,1.65,False
1,1205.34,2.218257169,20.78,10.0,9.8,9.47,38.36,False
0,1127.42,1.295279593,44.71,5.46,6.62,4.49,20.85,False
0,1319.79,2.542387545,53.16,7.02,6.81,7.18,7.32,False
1,908.28,3.032626837,67.15,8.03,6.07,6.76,18.53,False
1,1689.01,1.285504424,46.98,5.88,5.85,5.91,17.58,False
0,1903.55,2.243091432,32.96,7.75,4.54,3.56,15.8,True
0,1285.44,2.401828628,30.45,7.47,6.72,7.18,19.86,False
0,931.61,1.915791126,62.45,8.26,4.85,5.56,41.47,False
1,1176.33,2.539485382,6.05,6.36,6.06,4.99,13.88,True
1,1423.6,3.119619297,35.1,10.0,7.67,0.43,15.42,False
1,1277.53,1.0,17.07,6.58,3.91,5.18,28.51,False
0,1090.39,1.44733322,59.36,7.92,4.28,6.18,31.73,True
0,1001.8,2.172002994,23.34,8.27,5.69,6.43,4.44,False
1,651.31,2.397083736,47.49,5.72,6.07,6.91,31.27,False
0,550.0,1.972925609,23.69,3.36,3.95,8.5,11.53,False
0,1066.26,2.371148512,52.4,10.0,7.26,10.0,13.37,True
0,550.0,3.16977183,47.21,6.48,4.23,1.92,8.86,True
0,550.0,1.650916683,33.08,7.7,4.86,6.61,17.05,False
1,1328.73,3.695268993,29.1,7.88,7.69,3.38,31.38,True
0,1047.13,2.610481854,31.57,5.52,4.41,4.69,11.99,True
0,550.0,1.0,7.29,7.38,2.58,6.86,23.89,False
1,1635.79,1.258883874,6.94,7.37,6.09,10.0,2.22,False
0,550.0,1.94182078,16.03,3.72,2.33,6.63,17.68,False
0,632.25,1.268074488,15.28,5.24,0.31,6.88,17.2,False
0,901.6,1.452001866,25.15,8.26,6.1,4.74,15.34,False
1,581.94,2.712990858,31.61,8.64,6.67,4.71,17.26,True
0,1186.46,2.038321832,25.86,4.66,4.34,5.88,34.24,False
1,1630.8,1.257689693,5.46,10.0,6.15,10.0,9.14,True
0,713.07,1.0,5.94,5.76,2.51,2.8,15.63,False
1,667.46,3.118838607,28.73,9.58,3.15,4.87,39.9,True
1,550.0,2.948258477,9.4,8.04,5.27,5.63,23.82,False
0,1675.25,2.555001914,16.59,7.36,2.17,6.28,30.48,False
1,1664.88,1.152670291,39.32,10.0,6.62,8.29,27.34,False
0,813.44,1.0,57.88,0.74,2.67,7.85,2.1,False
0,1576.36,1.096003499,8.18,8.32,6.12,5.45,5.93,False
0,1122.06,1.196783186,56.0,4.05,3.38,6.72,34.52,True
1,688.09,2.982390005,70.9,6.38,5.22,8.86,14.36,True
1,821.19,2.016830748,59.45,7.45,4.8,3.17,21.59,True
1,917.84,1.955184842,59.37,8.61,4.61,3.55,19.47,True
0,767.77,1.059284265,20.16,7.52,5.38,5.63,1.45,True
0,591.51,1.660748427,19.79,7.46,3.39,0.85,47.14,False
0,550.0,1.102815031,70.38,6.83,3.02,2.21,19.31,False
0,719.8,1.130180745,10.35,4.32,1.17,6.89,15.76,False
1,1241.63,2.872942489,55.69,4.58,5.1,1.22,10.24,True
0,586.83,3.646534743,9.61,4.83,5.44,9.67,11.63,True
1,961.66,3.848720724,56.17,10.0,9.1,2.87,6.87,False
1,1010.79,2.647702101,23.3,9.77,5.62,9.23,16.65,False
1,1048.32,5.746047597,4.72,6.77,6.21,8.02,23.45,True
0,2240.87,1.031013193,40.39,5.91,6.28,6.91,26.25,True
0,617.59,1.0,26.94,6.68,6.19,6.09,6.02,False
1,989.91,1.776838748,13.46,4.66,1.83,2.63,4.86,True
1,761.55,1.819447808,0.14,8.63,4.09,5.73,2.04,True
0,1161.75,1.464104387,16.95,10.0,4.65,2.29,8.48,False
1,1553.57,3.988376742,18.8,10.0,8.8,6.66,24.4,True
1,1358.29,1.826308756,30.44,3.31,3.66,1.64,0.97,False
1,993.27,1.773304577,50.7,4.87,2.57,1.73,11.41,False
1,1153.92,1.957054224,14.18,7.06,6.09,4.77,5.8,False
1,1084.07,3.831632377,5.06,9.67,6.0,4.24,13.46,False
1,847.12,1.779418392,14.9,7.37,6.37,3.16,18.6,False
1,1236.22,1.0,5.85,7.5,2.27,3.41,13.77,False
0,1709.55,1.230665502,6.4,7.57,6.29,0.96,1.63,True
1,550.0,3.374620826,22.53,10.0,5.43,6.03,34.72,False
0,975.64,1.0,21.57,8.01,3.98,5.02,20.41,True
1,1487.0,3.288006066,11.54,7.57,9.47,7.96,40.79,False
0,1626.18,1.0,4.27,10.0,6.96,6.58,16.57,False
1,2240.4,4.125460955,56.42,8.3,5.76,9.54,13.61,False
1,853.43,1.21084439,48.98,5.64,3.73,10.0,5.8,False
1,1434.95,4.578304533,44.04,7.99,7.35,9.08,6.53,False
0,550.0,1.0,39.52,7.85,5.37,4.8,27.48,False
1,1144.18,1.515806711,4.06,9.36,6.04,5.15,4.12,False
0,755.67,1.396966419,77.3,6.48,3.11,7.29,39.26,True
0,1408.62,1.435982477,60.58,5.11,3.75,5.68,29.47,False
0,2166.0,1.537854434,53.96,10.0,7.71,8.35,26.72,False
0,550.0,1.678159447,58.86,1.95,2.33,2.16,35.87,False
1,858.13,3.063913964,13.72,6.54,3.79,6.11,24.01,True
0,735.91,1.0,17.49,2.6,2.69,1.51,34.62,False
1,957.8,1.0,6.13,7.89,5.16,6.73,0.4,False
1,976.75,2.323556012,19.68,3.24,5.49,1.42,29.75,False
0,594.6,1.0,34.0,5.32,5.36,3.06,39.35,False
0,1364.11,1.710486774,55.23,5.33,4.31,9.7,33.71,True
0,1628.7,1.0,22.52,4.62,2.94,7.48,22.81,False
1,550.0,2.653347736,3.96,7.58,6.85,6.33,14.45,True
1,2122.29,2.82345363,24.01,10.0,6.79,3.32,3.67,False
0,728.28,1.607294397,37.11,6.61,5.54,5.65,8.98,False
1,1709.18,3.12676117,17.32,10.0,10.0,7.32,6.24,False
1,1158.05,4.506071883,34.8,8.49,6.91,8.87,10.6,False
1,1161.42,1.0,30.05,9.03,7.84,4.15,18.69,False
1,1580.54,2.121777685,30.45,7.3,6.76,6.67,13.95,False
0,550.0,2.344320127,39.09,6.84,3.21,5.69,16.57,True
0,626.96,1.0,27.91,6.67,4.41,6.56,18.03,True
1,550.0,3.599558832,60.47,9.6,3.73,6.85,16.41,True
1,1403.29,2.60421646,16.39,7.81,8.63,6.18,2.58,False
0,550.0,4.886619316,43.21,8.82,5.95,5.31,5.51,True
0,1472.34,1.0,15.62,5.63,4.08,5.56,7.89,False
0,920.51,2.436317283,49.18,4.63,2.51,4.99,15.46,True
0,1114.83,2.359199828,17.94,7.03,5.14,6.34,8.29,False
0,622.83,1.0,63.91,6.2,2.39,0.13,23.43,False
1,1006.33,2.938682587,35.3,7.41,9.97,8.46,11.91,False
0,550.0,1.882941253,31.75,6.64,3.94,5.08,26.48,True
1,1532.08,3.279911887,31.49,8.46,7.76,9.54,1.1,False
1,1681.69,1.971240382,7.9,8.48,8.87,2.12,5.82,True
0,550.0,1.0,15.49,6.76,1.56,8.36,2.96,True
1,2166.82,1.319076184,12.85,7.21,4.62,6.19,5.93,True
0,1292.24,4.518126523,34.81,8.82,8.13,5.66,2.56,False
1,1570.93,3.976794197,12.84,10.0,10.0,8.44,34.81,False
1,1672.14,1.0,35.72,8.19,4.46,9.89,23.98,False
0,550.0,2.299606283,36.28,4.1,2.75,8.77,26.9,False
0,840.12,2.289361187,2.29,7.79,4.3,7.2,25.36,False
1,1472.52,3.94831851,44.74,5.96,7.2,8.86,26.52,False
0,1109.35,1.0,21.42,7.24,7.54,4.84,6.07,False
0,550.0,1.238518619,31.91,5.77,2.52,1.21,34.77,True
1,1124.19,1.980240231,14.72,8.56,5.53,2.87,23.52,False
0,1112.35,2.516874838,8.25,5.29,6.64,5.09,0.57,False
0,550.0,1.0,29.73,5.97,5.92,10.0,1.71,False
0,1216.19,3.342599119,13.78,9.03,5.65,6.05,12.63,False
0,1207.53,2.739403801,52.36,6.16,7.57,8.47,14.35,True
1,1473.52,1.477427364,71.59,9.63,6.54,8.04,19.99,False
1,550.0,3.444789637,32.09,4.98,4.21,7.95,4.56,True
0,1950.12,1.0,53.97,8.92,6.19,4.38,11.14,False
0,564.33,1.0,33.68,6.99,3.99,8.07,17.23,True
1,935.84,1.858013206,14.04,8.04,3.24,4.34,9.29,False
1,1103.76,3.167094449,50.24,4.28,5.03,3.75,3.27,False
0,550.0,1.056415847,62.82,5.34,1.93,6.75,41.49,False
1,1280.31,1.875373694,40.7,9.17,5.19,5.06,12.51,True
0,1052.01,1.08272871,16.93,4.87,3.44,6.14,19.87,False
1,1594.72,2.740509299,11.42,10.0,9.5,10.0,19.57,True
1,981.82,2.805204772,30.67,5.5,7.12,1.61,0.38,False
0,596.09,1.0,2.88,7.93,2.66,2.54,33.59,False
1,1638.91,1.47430386,9.47,7.55,4.46,6.61,17.6,False
0,988.14,1.0,32.52,6.95,3.84,7.71,27.49,True
1,1176.95,1.900141211,34.12,6.77,5.86,6.06,2.56,True
1,853.76,3.006812849,5.13,8.24,4.36,9.5,11.34,True
1,1406.02,2.28761671,54.95,6.71,5.51,7.75,43.94,False
1,667.13,4.119081613,37.99,9.07,4.26,5.48,1.56,False
1,1146.65,2.206769332,63.77,6.23,6.82,0.61,25.19,False
1,994.11,2.123426717,15.19,9.13,7.99,6.9,16.99,True
0,1600.19,1.068411809,26.65,5.55,4.05,5.02,8.91,True
0,550.0,1.0,30.49,4.18,4.14,4.38,5.86,False
1,1331.18,2.3128751,3.0,8.4,5.99,7.91,9.35,False
0,652.83,2.222200148,65.34,4.7,3.16,6.13,0.35,False
1,1756.64,1.672213313,12.64,4.63,4.31,7.72,3.9,True
1,1044.63,2.330250405,5.25,9.45,7.28,6.07,12.63,False
0,550.0,1.104816417,76.62,9.86,6.93,6.66,19.77,True
0,932.72,1.562287419,33.19,6.72,4.13,7.32,0.24,True
0,811.64,1.97683394,23.0,4.66,3.65,4.92,27.28,False
0,1228.67,1.748903643,20.08,7.81,3.0,0.09,18.17,False
0,601.34,2.332285227,57.11,7.2,6.83,3.86,30.2,True
0,550.0,1.0,17.29,2.85,2.96,6.05,22.01,False
0,2218.22,1.0,11.18,9.2,4.68,7.66,3.96,True
0,1174.77,1.886354424,33.31,7.42,5.75,7.68,28.59,False
1,826.67,1.0,12.81,8.7,6.16,8.95,15.34,False
1,2034.08,2.472909134,6.35,9.52,3.99,0.65,7.33,True
1,550.0,3.139102112,21.54,10.0,6.64,8.39,0.17,True
0,670.27,2.49452896,46.63,5.4,2.81,6.27,15.59,True
1,853.04,1.194545266,31.06,3.65,3.1,2.81,15.72,True
1,1164.13,3.115466002,47.36,6.29,2.83,3.07,18.66,True
0,1253.45,1.500422648,21.08,7.39,4.83,4.26,17.58,True
1,936.15,2.26227244,42.81,4.53,5.24,5.65,22.6,True
0,557.97,1.939237537,13.79,6.14,6.31,5.77,7.06,True
1,550.0,2.979532078,23.83,5.06,3.98,8.74,28.39,False
0,550.0,1.0,1.51,5.38,2.87,1.8,18.49,False
1,747.71,2.584191937,4.35,7.73,5.88,10.0,8.86,False
1,1055.34,1.810957857,24.08,6.08,2.85,8.8,25.55,True
1,1711.71,1.274574596,41.84,7.91,3.78,6.0,10.14,False
0,1080.39,2.337881208,25.09,5.92,3.87,3.86,25.15,True
0,594.66,1.0,56.4,6.96,5.04,0.08,4.3,False
0,709.95,1.202345328,14.54,4.64,2.35,9.99,27.59,False
1,953.36,3.102956136,17.44,7.74,5.21,6.59,2.89,True
1,550.0,3.026506276,3.82,9.5,5.9,8.17,2.59,False
1,1052.21,1.82740415,36.63,8.25,4.08,6.86,13.81,True
1,1424.81,4.543231399,52.83,5.48,3.69,8.7,3.18,False
1,1323.84,3.767558618,30.8,7.17,6.12,4.51,1.95,True
1,550.0,3.123917304,0.76,9.43,3.06,0.24,13.59,False
0,739.26,1.242991217,20.04,3.37,1.51,7.4,19.8,False
0,834.57,1.0,22.32,5.63,3.51,4.1,3.67,True
0,758.47,1.262706224,0.37,8.41,2.43,8.08,13.94,True
0,829.85,1.891653409,50.89,5.28,4.46,1.53,25.41,False
0,1454.19,1.712802724,51.1,6.99,3.43,10.0,7.77,False
0,1334.34,2.088845749,25.1,6.75,5.75,1.41,27.84,True
0,837.14,1.216579482,37.98,5.26,2.75,6.07,33.47,False
0,1496.13,3.009158001,7.99,5.82,6.72,7.73,18.91,True
0,914.61,1.969877996,41.4,6.04,0.52,4.49,28.04,False
1,1532.61,2.363318598,41.13,5.54,4.91,6.91,27.41,False
0,630.08,1.130709619,36.62,7.1,6.74,9.22,32.31,True
0,570.62,2.765106183,46.15,7.37,5.63,4.94,36.54,False
0,866.59,1.0,38.24,6.31,2.87,0.35,8.41,False
1,1438.77,2.625165708,24.06,6.69,5.78,6.85,21.36,False
0,550.0,3.770993514,72.06,7.49,3.17,0.97,26.94,True
1,1118.63,3.159659641,38.71,10.0,5.33,2.94,7.88,False
1,679.89,3.253499176,22.76,9.15,6.35,0.85,5.48,False
0,550.0,1.508227609,12.43,4.23,1.09,10.0,26.31,True
1,1629.25,3.936229087,33.97,8.74,7.44,8.98,20.91,False
1,863.02,2.008446441,77.15,6.28,4.08,5.28,37.37,False
0,826.08,3.119365868,70.57,3.63,0.34,7.35,8.48,False
1,550.0,2.562340726,6.83,5.72,6.13,7.02,2.0,False
1,1110.45,1.247922529,42.13,10.0,6.07,9.59,63.89,True
1,1608.87,3.576349096,23.12,9.02,7.0,6.66,5.85,True
1,782.9,1.769098482,20.92,6.38,1.35,2.17,53.31,False
0,1177.71,1.136594265,15.24,4.13,0.16,0.34,16.59,False
1,2027.73,2.00030168,0.98,6.94,5.34,8.98,30.58,False
0,858.42,1.0,51.26,5.66,5.87,2.34,16.26,True
1,992.95,2.880031008,42.08,5.6,0.71,5.76,8.92,True
0,1006.85,1.607505347,9.41,5.65,4.86,6.2,18.02,True
1,1249.39,4.506193698,15.52,10.0,8.41,7.08,1.36,False
0,1028.47,1.313040673,4.78,9.16,4.64,8.24,11.69,False
1,1386.37,1.732594418,48.09,7.14,6.34,6.99,4.47,True
0,1429.04,1.112939611,29.92,7.75,7.15,4.91,27.45,True
0,1291.71,1.0,44.88,4.84,6.18,10.0,25.03,False
1,1423.75,1.708664799,41.92,5.55,6.8,5.36,12.51,True
1,980.67,2.523725297,0.73,9.82,4.68,5.47,21.57,True
0,597.29,1.9457456,35.37,8.66,5.5,7.64,11.42,False
0,988.51,1.653452693,54.64,9.67,4.71,3.7,13.04,False
0,873.35,1.0,51.86,4.49,1.99,3.83,28.58,True
1,550.0,2.266691686,59.38,10.0,5.48,9.69,1.09,False
1,830.53,1.323549075,39.68,4.78,6.6,8.96,25.0,False
0,1374.36,2.054585809,36.29,6.44,7.76,5.87,2.85,False
0,1026.14,1.567010272,25.87,7.87,2.93,2.56,15.83,False
1,1090.36,2.563796733,10.7,8.53,2.68,8.96,11.13,True
0,1236.71,1.0,57.0,6.32,6.66,10.0,17.56,False
0,931.9,2.611440375,14.69,6.3,1.98,4.53,24.37,True
0,550.0,1.178959017,51.03,4.21,1.17,6.95,9.2,False
1,1305.92,1.0,21.84,7.99,6.94,6.97,6.17,False
0,2093.21,1.0,64.46,7.55,3.74,9.72,25.64,False
0,550.0,2.019821314,14.72,5.14,6.49,6.99,46.74,False
1,1356.4,1.544071738,74.07,7.45,6.82,9.42,35.28,True
1,970.38,2.717602416,24.6,6.78,6.58,4.66,16.58,False
0,786.88,1.818557689,10.02,7.34,6.76,6.56,24.81,False
0,1336.19,1.10374757,53.4,7.71,3.45,2.02,32.06,True
0,1686.82,1.057314862,46.2,7.39,6.37,8.82,40.39,True
0,1428.66,1.912768878,47.37,5.82,6.04,4.05,19.43,False
1,1359.74,3.477821201,22.8,10.0,4.76,2.63,14.49,True
1,1492.0,5.295942087,17.85,7.26,10.0,6.87,7.29,False
1,1066.78,2.310846015,18.99,10.0,6.3,6.06,19.44,False
1,1252.22,1.061756463,11.34,9.57,7.35,9.43,13.2,False
1,1930.0,3.760818872,33.9,7.36,5.86,7.63,10.63,False
0,581.23,1.0,17.23,8.6,1.01,4.9,29.59,False
1,950.35,2.490189397,69.53,5.96,6.79,4.35,27.39,False
0,690.05,1.0,51.78,5.87,2.79,1.56,26.58,True
1,2192.52,1.0,23.18,10.0,6.01,9.22,12.91,False
0,550.0,1.039750998,51.62,2.66,4.04,2.79,15.11,False
0,1056.11,1.227054093,17.17,8.64,5.48,3.04,3.78,True
1,550.0,3.069112702,19.36,7.51,4.0,5.02,1.94,False
0,795.85,1.0,44.62,5.19,5.76,4.8,21.81,False
0,679.57,1.093525573,46.36,7.35,3.8,2.49,4.22,False
1,1186.8,3.810525254,49.64,9.52,3.64,9.27,6.16,True
1,1327.95,3.776251036,10.3,10.0,10.0,10.0,2.22,False
0,1088.51,1.409465488,45.8,6.19,4.51,5.0,9.8,True
0,550.0,2.153863396,54.31,3.28,1.1,3.24,16.28,False
0,550.0,4.149932625,22.98,7.98,2.77,1.96,42.02,True
0,550.0,2.396959184,43.09,3.8,1.04,4.99,16.29,False
1,849.96,2.261439795,46.83,8.09,5.01,9.06,23.31,False
0,550.0,2.118715136,44.25,1.39,0.82,9.97,19.04,False
1,839.18,2.660031304,38.71,9.63,5.53,7.42,24.34,False
0,664.34,3.382167762,22.28,8.01,3.72,9.45,6.3,False
1,1540.65,3.241657318,20.01,7.68,7.58,10.0,7.93,False
0,1304.8,1.792917833,2.91,4.65,5.46,3.44,25.51,False
1,1048.47,2.193814202,22.77,9.06,7.0,6.59,5.12,False
0,879.41,2.266629681,19.63,6.9,5.38,3.89,5.37,False
0,1195.99,1.036083376,16.13,7.74,5.74,10.0,15.44,False
1,1173.64,2.301933032,26.41,2.48,3.87,7.17,9.74,True
0,1038.87,1.0,62.24,2.57,4.83,9.89,43.42,True
1,879.48,3.285003421,27.8,8.79,4.86,4.75,6.69,False
0,550.0,2.952521792,33.55,9.85,6.58,6.28,44.36,True
1,1037.71,1.09209856,26.89,8.24,3.73,3.78,34.18,False
1,1741.57,2.015672342,69.17,2.9,4.92,6.53,7.36,True
1,1648.14,1.803187338,27.48,10.0,6.37,4.82,32.08,False
1,857.93,2.107979197,0.33,6.1,6.68,6.22,6.41,True
1,856.11,1.0,40.3,7.52,5.02,1.06,13.82,False
1,1229.94,1.634053084,27.38,10.0,7.93,7.15,22.76,False
0,550.0,1.996248608,23.84,8.39,5.58,9.87,16.78,False
1,1836.01,1.0,20.7,5.76,8.08,4.5,18.43,False
0,577.32,1.038132203,29.07,6.43,2.46,4.24,35.42,False
0,967.81,1.0,17.03,8.9,7.61,7.84,0.39,False
