SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Windows,PreviousSalePrice,Garage
561.26,1.0,2,1131.07,34.14,4.99,103.38,21.56,96.64,2.09,1.78,3.11,4.36,9,89907.38454,1
1054.14,1.8262287,2,308.78,44.33,8.16,46.52,22.4,98.67,1.46,5.07,7.51,4.06,16,285593.5007,1
579.98,1.0,3,540.09,18.15,4.23,6.39,14.08,94.43,2.03,2.34,4.53,5.95,13,152352.5201,1
550.0,1.977486138,3,111.94,12.29,3.95,120.76,2.74,91.45,1.88,6.2,6.56,5.93,9,110438.1777,1
924.7,1.0,4,918.36,34.02,8.07,82.47,1.9,88.95,1.6,3.47,5.94,7.09,17,187464.9641,0
908.42,1.0,3,14.54,48.12,7.15,51.58,27.84,92.13,1.58,3.63,5.6,3.08,18,77579.26262,0
997.36,1.0,3,1315.33,24.39,9.29,6.16,15.9,87.17,1.47,6.04,4.43,3.43,15,142396.856,1
550.0,1.459498305,2,956.66,28.22,4.92,18.07,1.2,99.9,1.99,1.41,6.3,7.12,20,146499.1281,0
725.74,1.0,3,710.46,23.4,6.55,42.88,3.28,95.48,1.17,5.18,1.62,3.49,15,156556.7193,0
795.13,1.303982161,3,1110.65,46.56,6.55,35.57,11.55,92.9,1.87,5.19,5.27,6.25,16,168800.3902,1
550.0,1.191058646,3,171.47,48.97,5.62,83.77,34.55,92.42,1.94,3.81,3.41,5.68,12,142314.3466,0
691.66,1.972219017,2,41.14,22.34,5.76,46.06,8.27,89.72,1.05,2.68,5.44,3.32,13,18902.83481,0
550.0,2.259703602,4,473.24,43.0,5.64,47.87,13.28,92.19,1.36,5.21,4.23,5.72,11,315535.8507,0
550.0,2.150576681,1,464.48,17.37,6.05,58.57,9.18,96.32,0.75,2.36,5.45,6.64,51,31465.79415,0
550.0,1.052838097,3,570.12,4.84,9.51,72.2,18.78,99.9,0.94,6.05,8.36,5.11,2,73744.28124,0
757.36,1.679646996,3,613.27,23.72,8.47,10.25,11.93,96.15,1.07,6.28,0.58,4.4,18,205286.879,0
1305.82,2.575147827,3,347.3,41.32,4.83,15.75,19.05,98.87,1.93,4.08,7.12,7.9,16,290575.371,1
1241.82,1.0,3,352.69,23.26,6.07,104.92,8.72,95.16,2.34,7.54,7.92,4.43,7,201159.4678,1
550.0,1.058823299,3,404.19,45.38,2.95,49.09,15.7,92.05,2.03,4.13,2.1,6.25,23,119905.8368,0
576.05,1.0,2,705.36,33.8,4.28,0.2,6.39,86.57,2.08,4.03,9.94,5.97,15,37781.33227,0
620.25,2.754721278,3,387.32,5.02,8.27,9.51,20.1,92.78,1.8,3.53,8.66,6.06,14,228638.1768,0
802.52,1.0,4,631.97,24.02,10.0,17.9,44.87,99.9,1.31,3.41,8.62,5.8,10,222273.5201,1
550.0,3.921931003,2,1043.79,46.13,7.36,52.41,5.03,91.57,0.98,6.68,4.6,4.56,32,141694.2808,1
776.93,1.0,1,472.79,4.44,4.11,34.78,17.72,99.9,1.93,6.11,0.97,3.6,6,221796.2177,0
550.0,1.117693286,1,845.92,24.96,4.66,47.69,25.87,90.98,1.7,1.4,3.76,5.42,6,161706.7611,0
550.0,3.038980425,3,223.9,30.03,7.24,34.92,12.52,91.52,2.06,4.86,10.0,10.0,8,178039.5233,0
1765.19,1.0,1,1019.86,41.8,5.98,7.49,9.99,86.42,2.04,5.84,9.81,7.21,15,209479.8954,0
550.0,1.964345957,3,776.89,31.33,6.65,90.6,27.33,87.16,0.99,7.15,7.26,10.0,12,112989.8892,0
607.24,1.722275429,3,516.29,19.77,7.13,42.67,24.79,89.61,1.56,5.25,2.37,3.49,13,37158.51351,1
706.65,1.225752027,2,346.58,54.6,2.92,36.93,21.73,92.57,1.83,2.3,8.12,4.53,17,145196.911,0
550.0,2.020616461,2,111.62,35.94,6.18,54.93,4.39,89.65,1.3,1.87,6.37,7.9,9,178417.543,1
1360.01,1.788751584,2,165.16,37.04,4.89,77.89,10.63,88.16,1.85,3.75,3.83,8.62,5,205424.9541,0
924.31,1.0,3,860.94,47.7,7.23,87.08,0.22,91.73,1.27,2.23,2.28,5.88,13,160488.2633,0
664.28,1.565668607,2,392.33,39.91,8.76,3.48,10.55,96.26,1.24,4.22,2.45,3.97,9,15496.4411,1
909.24,1.269679965,2,432.83,44.97,4.53,29.12,11.26,96.61,1.87,5.59,3.91,4.57,5,147047.6584,1
562.66,1.369973755,4,1033.7,31.32,7.11,39.75,15.11,98.52,1.37,6.25,6.98,10.0,20,187029.6332,0
804.09,2.954551785,4,149.62,61.74,8.01,93.6,23.34,93.91,1.87,6.04,6.73,5.28,9,200915.5985,0
759.92,1.0,4,237.53,19.42,6.78,72.37,20.92,99.9,2.22,5.45,7.11,7.7,7,175073.5731,0
835.7,2.350892168,3,165.64,9.56,2.03,57.16,31.11,92.54,1.97,0.97,1.17,4.13,25,215361.784,0
693.51,1.0,3,122.93,35.38,5.48,112.63,11.79,88.96,1.56,2.32,0.72,4.82,7,197034.3485,0
550.0,1.0,3,108.1,72.88,4.81,105.65,10.26,85.66,2.24,2.18,10.0,5.55,17,123963.222,0
589.27,2.242666173,4,261.54,13.26,8.42,4.68,12.52,99.13,1.95,7.04,7.79,7.03,0,387208.5521,0
550.0,1.0,3,274.41,4.6,6.99,25.09,26.43,95.17,1.55,5.61,6.2,8.1,9,112568.3776,0
1244.05,1.0,3,474.75,23.75,6.48,50.35,10.24,90.92,1.67,3.81,7.93,8.12,20,58549.71219,1
1159.37,1.269122208,2,136.99,42.57,8.61,12.0,9.26,99.9,1.25,6.77,6.48,4.9,7,149929.4724,0
1434.23,2.343958386,2,1098.97,7.96,9.04,61.85,17.43,99.9,1.33,5.21,4.51,5.88,7,257906.3357,0
1493.56,3.05005447,3,587.84,64.1,3.94,89.79,14.7,93.37,1.86,3.94,5.84,4.82,19,283925.4965,0
550.0,1.0,4,499.04,68.61,7.11,31.79,22.87,86.13,1.49,5.05,10.0,4.47,14,227155.8673,1
806.32,2.393869424,3,213.07,15.42,7.84,23.42,29.33,99.9,1.82,4.08,4.56,6.92,29,195682.1267,1
747.84,2.384521121,2,692.21,39.76,3.11,114.59,47.56,82.72,1.42,2.29,5.64,6.58,14,176854.7575,1
1343.88,3.166101289,3,1154.36,5.55,9.5,41.82,17.39,99.9,1.61,7.63,3.54,6.52,15,361421.1863,0
911.59,1.495811696,2,289.95,15.46,5.42,69.3,2.57,85.69,1.17,3.4,8.86,9.11,28,193927.5632,0
1002.01,1.940273697,4,755.42,19.42,6.24,60.79,5.38,95.83,1.99,1.75,5.28,4.98,11,242087.3562,0
550.0,1.0,2,713.41,41.03,8.82,12.94,11.16,95.58,1.71,2.33,10.0,5.53,17,43526.97574,0
1030.86,1.281494767,5,64.67,42.58,10.0,36.79,39.14,87.08,2.11,6.41,7.28,0.93,22,257113.1606,1
1334.59,1.813780622,3,494.99,32.99,4.99,67.87,26.08,86.65,1.74,6.08,2.59,3.35,21,292967.7695,0
786.48,3.488486693,1,247.96,34.43,7.33,58.07,26.77,99.15,1.26,0.18,5.69,3.67,9,61155.96443,0
1069.19,1.812709571,3,397.15,1.27,8.23,26.75,20.25,94.8,2.28,6.08,3.68,6.34,18,239953.26,1
1069.43,2.526355733,2,624.27,7.39,7.9,54.85,2.94,97.53,1.68,2.91,6.86,5.39,1,225277.9732,0
550.0,1.475411497,1,571.2,14.35,8.28,56.73,37.18,95.55,2.18,6.42,6.22,5.75,9,54711.92739,0
652.06,1.369922378,2,468.82,14.55,7.35,76.46,26.9,97.01,0.99,6.45,4.54,4.49,14,186561.027,1
1005.09,2.620519967,4,570.17,35.63,8.9,10.08,19.38,99.9,1.78,4.64,6.5,3.07,12,204595.6187,1
550.0,1.0,2,111.19,17.01,1.26,26.61,27.84,95.61,2.15,3.17,2.13,5.25,18,32747.97897,1
1401.07,1.149113796,3,861.91,6.95,7.3,19.51,13.62,96.16,1.15,5.91,0.82,7.61,24,140428.5889,1
550.0,3.318284837,4,720.95,35.34,10.0,45.91,10.92,99.9,1.15,8.28,6.1,6.06,9,286119.1079,0
626.39,1.0,4,304.24,28.35,7.64,41.71,13.39,98.33,2.08,5.32,2.11,3.9,24,151235.7966,0
550.0,3.258431022,3,516.81,47.88,6.44,90.79,5.09,88.33,1.35,5.57,8.66,6.41,11,161310.6784,0
657.23,2.184482264,2,782.02,17.02,3.5,94.0,27.36,96.85,1.76,1.24,2.52,3.27,-3,189534.766,0
550.0,3.892309746,1,714.65,32.36,3.52,14.14,17.34,95.25,1.88,5.12,5.66,7.35,18,36617.13028,0
636.04,1.032646517,3,150.3,20.56,5.68,91.23,17.58,99.9,1.99,5.25,10.0,10.0,27,70039.72972,0
1381.83,1.982966373,3,768.86,6.93,8.27,38.1,2.17,96.32,1.69,7.72,6.65,6.37,15,431628.5128,1
1185.85,3.06422595,2,389.82,49.18,8.07,0.21,10.85,89.4,1.21,7.24,6.62,5.65,9,146537.4307,1
676.56,2.629331952,1,552.24,30.05,5.22,12.6,18.77,91.51,2.24,5.0,8.67,8.92,18,88357.67291,0
901.6,1.452001866,3,628.48,25.15,8.26,19.82,15.34,99.9,0.67,6.1,4.74,5.39,19,155406.0548,0
585.81,2.0188942,2,873.1,59.58,5.41,93.09,0.59,91.52,0.91,2.81,5.71,4.09,6,134750.1853,1
941.24,3.155240375,3,616.89,11.42,10.0,73.0,13.75,97.38,1.73,3.51,2.65,6.24,13,154641.3518,0
667.26,2.218261739,1,173.38,39.11,7.45,68.14,19.03,99.15,1.69,3.39,4.67,9.04,18,41238.17882,1
833.92,1.0,2,444.51,5.89,8.18,91.77,15.45,99.41,1.62,4.1,8.5,6.62,7,30074.74031,0
641.56,2.468336933,3,515.97,22.57,7.85,24.86,43.79,99.9,1.31,3.18,5.82,4.37,19,316166.1518,0
1013.37,3.631592588,3,680.55,9.15,9.39,64.02,11.07,90.67,1.51,6.17,6.18,5.23,11,399524.6937,0
550.0,1.0,2,547.36,30.58,4.14,39.77,29.33,97.35,2.48,3.79,7.99,4.21,20,281810.354,0
550.0,2.567243569,2,447.96,29.21,4.81,48.11,15.24,98.08,1.34,2.4,9.2,3.89,15,89371.89663,0
767.17,1.881860216,3,398.64,34.73,5.52,21.4,6.3,97.08,1.76,6.1,7.38,6.35,23,250240.374,0
550.0,1.0,2,603.45,26.64,5.04,54.07,40.13,89.58,1.79,0.57,0.66,6.16,16,109311.4591,1
566.9,2.554960145,3,871.89,80.58,6.16,10.08,2.83,91.08,1.77,3.62,3.46,6.33,17,84105.99162,1
550.0,3.042368646,4,240.37,44.36,5.44,0.76,30.79,87.81,1.39,2.41,4.4,4.9,9,298070.1418,1
799.86,1.377026893,2,405.79,12.91,8.53,79.72,5.26,99.9,1.61,3.39,8.07,5.57,12,141135.9924,1
956.85,1.0,2,517.38,8.61,6.14,75.24,6.85,97.72,0.81,7.62,9.49,5.41,7,117395.2248,0
550.0,2.107222655,2,62.64,63.69,4.39,63.64,27.59,82.41,1.43,1.73,4.41,4.31,4,7345.598134,1
1006.58,1.0,2,767.78,12.09,3.26,91.85,58.91,87.91,1.26,5.47,5.28,2.77,6,152571.5274,1
958.82,1.047291764,3,475.59,48.48,6.32,36.82,6.98,88.73,1.88,4.73,4.79,6.0,13,167208.1095,0
1645.47,1.552318321,1,911.68,22.7,10.0,87.0,16.97,99.9,1.06,7.36,6.53,9.9,21,341715.2682,0
1372.17,1.344599233,1,873.65,25.83,4.37,35.49,9.06,96.34,1.49,3.59,7.09,9.25,20,169037.4984,0
550.0,4.998606692,4,519.1,23.41,7.15,55.3,5.52,86.12,0.53,7.09,4.58,6.21,24,480559.1,0
550.0,1.300354412,2,324.23,49.83,3.94,70.19,15.66,96.02,1.76,2.49,4.62,4.95,11,371648.4558,0
550.0,1.0,3,628.14,10.55,4.65,59.46,14.52,88.53,1.24,0.62,7.68,4.84,15,28432.10261,0
991.12,2.694417042,4,337.75,14.97,6.42,59.7,36.56,84.24,1.16,5.13,4.59,6.24,18,439363.528,1
629.97,1.0,3,102.9,59.2,5.54,113.3,13.36,98.05,1.12,2.48,2.37,5.21,16,75361.61746,0
1688.74,2.099405174,2,108.4,43.37,3.92,48.56,27.05,82.71,2.23,0.63,0.05,3.11,18,3553.746834,0
1152.7,2.656206488,2,725.39,49.57,6.19,57.15,35.82,95.51,0.78,5.42,4.26,3.21,22,231907.9277,1
1821.56,1.867427472,3,478.89,41.12,8.53,38.08,2.02,93.86,1.49,7.4,9.78,6.92,12,373974.9497,0
550.0,1.27159703,2,12.93,19.18,4.74,33.46,19.83,86.3,1.92,3.95,1.82,4.16,25,37069.30607,1
782.82,1.0,4,741.57,18.11,7.25,74.09,18.7,92.02,1.0,5.7,0.79,2.6,15,215878.5637,0
574.11,1.761876553,3,513.85,38.11,8.99,73.78,27.57,86.02,2.05,4.9,5.47,8.11,19,6834.437849,0
732.31,1.605698581,1,617.27,37.07,7.01,97.95,4.47,98.74,1.07,3.85,5.69,6.14,15,10130.27321,1
1158.98,1.0,3,126.54,23.96,10.0,84.29,20.01,99.9,1.36,7.03,0.8,2.54,8,164522.6787,1
621.08,2.825453734,2,418.29,42.04,5.17,61.33,32.44,96.56,2.23,4.74,7.02,6.27,31,98052.37476,0
1122.2,1.0,2,207.03,8.49,5.17,28.57,13.84,85.73,0.82,4.11,5.88,7.14,28,102190.9602,0
1160.18,1.059622618,2,397.18,31.83,5.17,68.72,49.47,93.25,1.68,3.61,2.02,7.4,14,14217.99082,0
1251.57,2.121843715,2,860.35,38.4,9.35,46.6,12.76,90.13,1.58,5.19,9.15,5.04,5,168781.1521,1
991.61,1.616237939,3,630.77,26.79,6.92,3.28,28.1,96.33,2.02,3.39,7.22,6.31,8,100327.5164,0
638.03,1.0,3,795.57,33.65,8.44,43.74,31.42,94.1,1.91,3.28,4.85,6.63,7,121966.0905,1
550.0,1.503746425,3,185.79,29.97,8.27,138.4,47.85,92.38,2.45,4.72,6.35,5.39,16,101077.8511,1
550.0,1.837848466,3,210.65,53.64,5.56,58.79,36.66,87.7,1.95,3.91,4.46,3.77,20,116173.9285,0
847.12,1.779418392,2,430.48,14.9,7.37,124.71,18.6,88.31,2.33,6.37,3.16,3.12,9,95786.87268,0
1018.92,1.0,1,1069.2,60.88,3.63,78.78,39.49,96.42,1.91,3.53,1.49,7.45,60,110643.4367,0
610.18,1.0,3,323.85,39.15,6.47,64.11,48.7,94.75,1.42,3.99,3.41,3.15,8,138455.4232,1
617.7,1.357642139,2,337.07,51.47,3.81,77.58,22.41,91.94,0.97,4.86,1.67,3.7,21,94243.94994,0
1000.46,1.0,2,354.08,37.13,8.46,18.18,26.4,99.9,0.96,6.77,6.02,4.06,2,75254.66871,0
988.32,1.308992909,3,773.65,41.29,7.05,89.12,15.0,99.37,1.39,3.18,5.41,3.36,13,62001.95613,0
550.7,1.554924069,4,382.35,12.08,6.22,12.73,7.55,88.78,1.92,1.29,6.69,8.14,17,21940.25647,0
