EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
66,32,5,Yes,$29.49 ,40,Salary,28660.8,8,Marketing,Female,Married,3.0,8.0,Mail Check,Yes
67,30,8,No,$24.74 ,40,Salary,51459.2,77,Sales,Male,Divorced,1.0,21.0,Mail Check,Yes
68,32,4,No,$24.74 ,40,Salary,51459.2,77,Sales,Male,Divorced,2.0,8.0,Mail Check,Yes
72,57,5,No,$85.22 ,40,Salary,177257.6,33,Laboratory,Prefer Not to Answer,Single,5.0,12.0,Mail Check,Yes
73,28,6,No,$22.80 ,40,Salary,47424.0,24,Research,Female,Divorced,2.0,19.0,Mail Check,Yes
74,28,1,Yes,$22.80 ,40,Salary,47424.0,24,Research,Female,Divorced,3.0,18.0,Mail Check,Yes
75,34,6,No,$28.20 ,40,Salary,58656.0,12,Sales,Male,Single,4.0,17.0,Direct Deposit,Yes
76,40,4,No,$28.20 ,40,Salary,58656.0,12,Sales,Male,Single,5.0,20.0,Direct Deposit,Yes
77,30,7,No,$28.10 ,40,Salary,58448.0,2,Sales,Male,Single,1.0,12.0,Mail Check,Yes
78,40,3,Yes,$28.10 ,40,Salary,58448.0,2,Sales,Male,Single,1.0,22.0,Mail Check,Yes
79,34,9,No,$26.59 ,40,Salary,55307.2,67,Information_Technology,Female,Divorced,2.0,20.0,Mail Check,Yes
80,37,3,No,$26.59 ,40,Salary,55307.2,67,Information_Technology,Female,Divorced,3.0,6.0,Mail Check,Yes
83,50,10,No,$88.27 ,40,Salary,283601.6,60,Research,Male,Married,3.0,12.0,Direct Deposit,Yes
84,54,17,No,$88.27 ,40,Salary,283601.6,60,Research,Male,Married,6.0,16.0,Direct Deposit,Yes
85,53,18,Yes,$31.39 ,40,Salary,65291.2,62,Information_Technology,Female,Divorced,2.0,25.0,Mail Check,Yes
86,57,14,Yes,$31.39 ,40,Salary,65291.2,62,Information_Technology,Female,Divorced,9.0,18.0,Mail Check,Yes
87,39,7,Yes,$31.39 ,40,Salary,65291.2,47,Information_Technology,Female,Divorced,4.0,6.0,Mail Check,Yes
89,31,9,No,$28.73 ,40,Salary,59758.4,28,Laboratory,Female,Married,1.0,25.0,Mail Check,Yes
90,40,1,No,$28.73 ,40,Salary,59758.4,28,Laboratory,Female,Married,6.0,10.0,Mail Check,Yes
91,36,9,No,$28.73 ,40,Salary,59758.4,7,Laboratory,Female,Married,3.0,11.0,Mail Check,Yes
92,39,4,No,$28.73 ,40,Salary,59758.4,7,Laboratory,Female,Married,6.0,18.0,Mail Check,Yes
93,44,8,Yes,$48.45 ,40,Salary,100776.0,76,Marketing,Female,Married,5.0,12.0,Mail Check,Yes
96,54,17,No,$85.40 ,40,Salary,177632.0,31,Research,Male,Single,2.0,25.0,Mail Check,Yes
98,58,19,No,$71.90 ,40,Salary,149552.0,32,Marketing,Male,Married,5.0,23.0,Mail Check,Yes
99,48,17,Yes,$71.33 ,40,Salary,148075.2,50,Sales,Prefer Not to Answer,Married,8.0,8.0,Mail Check,Yes
100,57,17,No,$71.33 ,40,Salary,148075.2,50,Sales,Prefer Not to Answer,Married,9.0,22.0,Mail Check,Yes
101,49,7,No,$65.62 ,40,Salary,136489.6,15,Research,Male,Divorced,6.0,17.0,Direct Deposit,Yes
102,52,17,Yes,$65.62 ,40,Salary,136489.6,15,Research,Male,Divorced,1.0,6.0,Direct Deposit,Yes
104,49,7,Yes,$56.11 ,40,Salary,116708.8,33,Healthcare,Male,Divorced,1.0,22.0,Mail Check,Yes
106,59,13,Yes,$80.12 ,40,Salary,166649.6,56,Human_Resources,Male,Married,9.0,6.0,Mail Check,Yes
107,34,4,No,$25.71 ,40,Salary,53476.8,32,Marketing,Male,Single,3.0,17.0,Direct Deposit,Yes
108,34,1,No,$25.71 ,40,Salary,53476.8,32,Marketing,Male,Single,5.0,5.0,Direct Deposit,Yes
109,41,6,Yes,$97.05 ,40,Salary,202864.0,22,Research,Female,Divorced,3.0,23.0,Mail Check,Yes
110,42,3,No,$97.05 ,40,Salary,202864.0,22,Research,Female,Divorced,5.0,6.0,Mail Check,Yes
111,33,4,Yes,$25.17 ,40,Salary,52353.6,51,Information_Technology,Male,Single,6.0,14.0,Direct Deposit,Yes
112,35,7,Yes,$25.17 ,40,Salary,52353.6,51,Information_Technology,Male,Single,6.0,25.0,Direct Deposit,Yes
113,39,8,Yes,$81.64 ,40,Salary,169811.2,60,Marketing,Male,Divorced,2.0,17.0,Mail Check,Yes
114,58,7,No,$81.64 ,40,Salary,169811.2,60,Marketing,Male,Divorced,2.0,12.0,Mail Check,Yes
116,60,10,No,$40.53 ,40,Salary,84302.4,58,Sales,Female,Married,9.0,8.0,Mail Check,Yes
118,35,4,Yes,$23.42 ,40,Salary,48713.6,5,Research,Female,Divorced,4.0,15.0,Direct Deposit,Yes
119,37,3,No,$65.52 ,40,Salary,136281.6,36,Healthcare,Female,Married,2.0,11.0,Mail Check,Yes
120,48,19,Yes,$65.52 ,40,Salary,136281.6,36,Healthcare,Female,Married,7.0,23.0,Mail Check,Yes
121,33,3,Yes,$28.09 ,40,Salary,58427.2,34,Sales,Female,Single,1.0,13.0,Mail Check,Yes
122,34,1,Yes,$28.09 ,40,Salary,58427.2,34,Sales,Female,Single,4.0,22.0,Mail Check,Yes
123,35,6,Yes,$26.84 ,40,Salary,55827.2,60,Sales,Male,Divorced,1.0,21.0,Mail Check,Yes
124,38,3,No,$26.84 ,40,Salary,55827.2,60,Sales,Male,Divorced,2.0,25.0,Mail Check,Yes
126,48,13,Yes,$34.87 ,40,Salary,72529.6,1,Research,Female,Single,4.0,13.0,Mail Check,Yes
127,38,5,Yes,$83.05 ,40,Salary,172744.0,37,Marketing,Female,Single,1.0,5.0,Mail Check,Yes
130,45,16,Yes,$59.45 ,40,Salary,123656.0,42,Research,Female,Married,3.0,14.0,Mail Check,Yes
131,56,16,No,$35.54 ,40,Salary,73923.2,16,Healthcare,Male,Married,7.0,8.0,Mail Check,Yes
132,56,18,No,$35.54 ,40,Salary,73923.2,16,Healthcare,Male,Married,3.0,24.0,Mail Check,Yes
134,44,10,Yes,$43.00 ,40,Salary,89440.0,26,Sales,Female,Divorced,6.0,18.0,Direct Deposit,Yes
137,34,1,No,$26.06 ,40,Salary,54204.8,35,Laboratory,Female,Married,5.0,8.0,Direct Deposit,Yes
140,60,11,No,$60.01 ,40,Salary,124820.8,34,Healthcare,Female,Married,2.0,15.0,Mail Check,Yes
142,54,11,Yes,$50.74 ,40,Salary,105539.2,74,Manufacturing,Female,Married,9.0,15.0,Mail Check,Yes
143,39,8,No,$53.28 ,40,Salary,110614.4,62,Manufacturing,Male,Divorced,4.0,7.0,Mail Check,Yes
144,54,10,No,$53.28 ,40,Salary,110614.4,62,Manufacturing,Male,Divorced,1.0,24.0,Mail Check,Yes
145,30,6,Yes,$24.64 ,40,Salary,51251.2,10,Human_Resources,Female,Divorced,2.0,22.0,Direct Deposit,Yes
147,39,8,No,$86.33 ,40,Salary,179566.4,2,Research,Female,Married,3.0,12.0,Mail Check,Yes
148,47,12,Yes,$86.33 ,40,Salary,179566.4,2,Research,Female,Married,4.0,8.0,Mail Check,Yes
149,33,7,Yes,$31.10 ,40,Salary,64688.0,84,Human_Resources,Female,Single,1.0,21.0,Mail Check,Yes
152,35,9,Yes,$23.37 ,40,Salary,48609.6,60,Information_Technology,Male,Divorced,5.0,25.0,Mail Check,Yes
153,50,7,No,$60.42 ,40,Salary,125673.6,44,Information_Technology,Male,Divorced,1.0,12.0,Direct Deposit,Yes
154,55,19,No,$60.42 ,40,Salary,125673.6,44,Information_Technology,Male,Divorced,8.0,24.0,Direct Deposit,Yes
155,36,2,Yes,$28.04 ,40,Salary,58323.2,61,Manufacturing,Male,Married,2.0,8.0,Mail Check,Yes
156,38,7,Yes,$28.04 ,40,Salary,58323.2,61,Manufacturing,Male,Married,6.0,10.0,Mail Check,Yes
158,55,14,No,$59.17 ,40,Salary,123073.6,87,Sales,Female,Married,8.0,21.0,Mail Check,Yes
161,30,2,Yes,$25.57 ,40,Salary,53285.6,79,Healthcare,Male,Married,3.0,23.0,Mail Check,Yes
163,34,5,Yes,$28.09 ,40,Salary,58427.2,15,Sales,Male,Single,5.0,23.0,Mail Check,Yes
164,36,5,No,$28.09 ,40,Salary,58427.2,15,Sales,Male,Single,2.0,12.0,Mail Check,Yes
165,48,11,Yes,$33.29 ,40,Salary,69243.2,46,Research,Male,Single,3.0,17.0,Mail Check,Yes
166,61,11,No,$33.29 ,40,Salary,69243.2,46,Research,Male,Single,8.0,21.0,Mail Check,Yes
167,41,3,No,$91.85 ,40,Salary,331048.0,5,Sales,Female,Married,6.0,25.0,Mail Check,Yes
170,58,10,No,$45.29 ,40,Salary,94203.2,33,Healthcare,Male,Single,4.0,24.0,Mail Check,Yes
172,55,15,No,$96.17 ,40,Salary,200033.6,52,Laboratory,Male,Single,4.0,21.0,Direct Deposit,Yes
173,48,5,No,$76.51 ,40,Salary,159140.8,73,Information_Technology,Female,Single,8.0,22.0,Mail Check,Yes
175,37,4,No,$57.15 ,40,Salary,128872.0,42,Information_Technology,Female,Divorced,6.0,23.0,Mail Check,Yes
176,42,3,Yes,$57.15 ,40,Salary,128872.0,42,Information_Technology,Female,Divorced,3.0,10.0,Mail Check,Yes
177,55,16,No,$64.59 ,40,Salary,134347.2,50,Manufacturing,Male,Divorced,8.0,5.0,Mail Check,Yes
178,56,17,Yes,$64.59 ,40,Salary,134347.2,50,Manufacturing,Male,Divorced,5.0,20.0,Mail Check,Yes
179,26,3,Yes,$22.38 ,40,Salary,46550.4,53,Laboratory,Male,Single,2.0,7.0,Direct Deposit,Yes
181,38,6,No,$44.26 ,40,Salary,92060.8,85,Human_Resources,Female,Married,1.0,18.0,Mail Check,Yes
182,60,14,No,$44.26 ,40,Salary,92060.8,85,Human_Resources,Female,Married,4.0,22.0,Mail Check,Yes
183,43,3,No,$71.87 ,40,Salary,149489.6,66,Marketing,Female,Married,8.0,19.0,Direct Deposit,Yes
184,55,8,Yes,$71.87 ,40,Salary,149489.6,66,Marketing,Female,Married,1.0,7.0,Direct Deposit,Yes
186,48,20,No,$64.88 ,40,Salary,134950.4,42,Human_Resources,Female,Divorced,9.0,17.0,Mail Check,Yes
187,36,5,No,$42.17 ,40,Salary,87713.6,80,Manufacturing,Female,Divorced,6.0,9.0,Mail Check,Yes
190,51,9,No,$37.36 ,40,Salary,77708.8,55,Research,Male,Divorced,7.0,20.0,Direct Deposit,Yes
191,47,6,Yes,$32.42 ,40,Salary,67433.6,66,Sales,Female,Married,5.0,21.0,Mail Check,Yes
192,59,17,Yes,$32.42 ,40,Salary,67433.6,66,Sales,Female,Married,2.0,12.0,Mail Check,Yes
193,39,6,No,$31.08 ,40,Salary,64646.4,50,Sales,Male,Married,5.0,25.0,Mail Check,Yes
194,39,7,No,$31.08 ,40,Salary,64646.4,50,Sales,Male,Married,4.0,19.0,Mail Check,Yes
197,30,7,No,$30.80 ,40,Salary,64064.0,950,Information_Technology,Male,Married,3.0,21.0,Direct Deposit,Yes
199,38,7,Yes,$86.23 ,40,Salary,179358.4,53,Marketing,Female,Married,6.0,7.0,Direct Deposit,Yes
200,42,4,No,$86.23 ,40,Salary,179358.4,53,Marketing,Female,Married,7.0,14.0,Direct Deposit,Yes
201,30,1,No,$28.33 ,40,Salary,58635.2,70,Human_Resources,Female,Single,3.0,12.0,Mail Check,Yes
202,61,19,No,$40.71 ,40,Salary,84676.8,17,Sales,Female,Single,2.0,6.0,Mail Check,Yes
203,30,6,No,$28.63 ,40,Salary,59550.4,58,Marketing,Female,Divorced,2.0,14.0,Mail Check,Yes
204,41,2,No,$94.94 ,40,Salary,337475.2,15,Human_Resources,Female,Single,6.0,16.0,Direct Deposit,Yes
205,56,6,No,$36.39 ,40,Salary,75691.2,64,Laboratory,Female,Married,1.0,15.0,Mail Check,Yes
206,45,7,No,$70.20 ,40,Salary,146016.0,250,Marketing,Male,Married,2.0,10.0,Mail Check,Yes
209,38,10,Yes,$88.71 ,40,Salary,284516.8,250,Sales,Male,Single,1.0,12.0,Direct Deposit,Yes
211,56,9,Yes,$62.63 ,40,Salary,130270.4,250,Healthcare,Female,Divorced,6.0,13.0,Direct Deposit,Yes
212,42,5,No,$49.49 ,40,Salary,102939.2,33,Research,Female,Single,5.0,13.0,Mail Check,No
213,44,14,No,$59.65 ,40,Salary,124072.0,58,Marketing,Female,Divorced,4.0,19.0,Direct Deposit,Yes
214,36,9,No,$56.51 ,40,Salary,117540.8,12,Information_Technology,Female,Married,6.0,21.0,Mail Check,Yes
215,48,20,No,$64.27 ,40,Salary,133681.6,17,Sales,Female,Married,8.0,5.0,Mail Check,Yes
216,34,6,Yes,$29.97 ,40,Salary,62337.6,89,Sales,Male,Married,4.0,20.0,Mail Check,Yes
218,28,4,Yes,$25.45 ,40,Salary,52936.0,49,Laboratory,Female,Married,1.0,9.0,Mail Check,Yes
219,55,5,No,$61.57 ,40,Salary,128065.6,250,Sales,Female,Married,1.0,21.0,Mail Check,Yes
220,39,2,No,$53.50 ,40,Salary,111280.0,81,Marketing,Female,Divorced,2.0,8.0,Mail Check,Yes
221,54,14,Yes,$45.84 ,40,Salary,95347.2,86,Healthcare,Male,Single,4.0,11.0,Mail Check,No
223,54,11,No,$91.54 ,40,Salary,330403.2,52,Sales,Male,Single,1.0,9.0,Mail Check,No
224,38,3,Yes,$86.01 ,40,Salary,178900.8,250,Manufacturing,Female,Divorced,1.0,11.0,Direct Deposit,Yes
225,36,9,No,$31.01 ,40,Salary,64500.8,0,Manufacturing,Male,Divorced,4.0,5.0,Mail Check,Yes
227,41,9,No,$97.12 ,40,Salary,202009.6,3,Research,Prefer Not to Answer,Divorced,1.0,23.0,Direct Deposit,Yes
228,31,8,Yes,$22.79 ,40,Salary,47403.2,15,Healthcare,Male,Single,3.0,12.0,Mail Check,Yes
229,50,9,No,$60.97 ,40,Salary,126817.6,48,Marketing,Female,Single,3.0,13.0,Mail Check,No
231,57,13,No,$58.33 ,40,Salary,121035.2,17,Information_Technology,Male,Single,4.0,16.0,Mail Check,No
233,49,8,No,$95.12 ,40,Salary,337849.6,55,Sales,Female,Married,9.0,19.0,Mail Check,Yes
235,39,1,No,$48.11 ,40,Salary,100068.8,68,Research,Female,Divorced,3.0,16.0,Mail Check,Yes
236,37,1,Yes,$80.48 ,40,Salary,167398.4,57,Research,Male,Single,2.0,22.0,Direct Deposit,No
239,45,20,Yes,$82.26 ,40,Salary,171100.8,62,Manufacturing,Male,Single,1.0,9.0,Mail Check,No
243,45,13,Yes,$42.02 ,40,Salary,87401.6,77,Healthcare,Male,Single,2.0,23.0,Direct Deposit,Yes
244,34,2,No,$29.96 ,40,Salary,62316.8,50,Research,Male,Divorced,5.0,13.0,Mail Check,Yes
245,44,11,Yes,$54.29 ,40,Salary,112923.2,10,Laboratory,Female,Single,7.0,11.0,Direct Deposit,No
246,56,20,Yes,$49.41 ,40,Salary,102772.8,7,Laboratory,Male,Single,9.0,20.0,Mail Check,No
247,58,10,No,$82.70 ,40,Salary,172016.0,20,Healthcare,Female,Single,7.0,8.0,Mail Check,No
248,39,7,Yes,$44.69 ,40,Salary,92955.2,46,Sales,Male,Married,5.0,11.0,Mail Check,Yes
249,39,4,Yes,$96.08 ,40,Salary,339846.4,41,Research,Female,Single,3.0,19.0,Mail Check,No
250,58,18,No,$86.40 ,40,Salary,179712.0,38,Research,Female,Married,4.0,8.0,Mail Check,Yes
251,54,6,No,$60.20 ,40,Salary,125216.0,53,Marketing,Male,Married,6.0,17.0,Mail Check,Yes
252,31,6,Yes,$25.79 ,40,Salary,53643.2,21,Sales,Male,Married,2.0,8.0,Mail Check,No
254,36,1,Yes,$33.84 ,40,Salary,70387.2,85,Manufacturing,Male,Married,3.0,7.0,Direct Deposit,Yes
256,36,5,No,$26.09 ,40,Salary,54267.2,20,Research,Female,Single,5.0,23.0,Mail Check,Yes
258,53,13,Yes,$50.59 ,40,Salary,105227.2,60,Healthcare,Female,Divorced,7.0,18.0,Mail Check,Yes
260,38,8,No,$51.69 ,40,Salary,107515.2,11,Research,Female,Married,1.0,24.0,Direct Deposit,Yes
261,38,6,Yes,$66.16 ,40,Salary,137612.8,70,Marketing,Male,Single,5.0,5.0,Direct Deposit,No
262,33,2,Yes,$24.17 ,40,Salary,50273.6,80,Laboratory,Male,Divorced,2.0,16.0,Mail Check,Yes
263,43,7,Yes,$53.73 ,40,Salary,111758.4,12,Laboratory,Female,Divorced,5.0,5.0,Direct Deposit,Yes
264,40,3,No,$59.72 ,40,Salary,124217.6,1,Healthcare,Female,Married,1.0,7.0,Mail Check,Yes
265,39,1,Yes,$29.74 ,40,Salary,62859.2,64,Research,Male,Single,4.0,14.0,Mail Check,Yes
267,45,20,Yes,$65.38 ,40,Salary,135990.4,20,Information_Technology,Female,Married,3.0,22.0,Mail Check,Yes
269,41,5,No,$34.80 ,40,Salary,72384.0,17,Marketing,Female,Divorced,3.0,18.0,Mail Check,Yes
271,24,1,No,$17.39 ,40,Salary,36171.2,2,Manufacturing,Male,Single,1.0,16.0,Mail Check,Yes
272,48,10,Yes,$33.85 ,40,Salary,70408.0,250,Healthcare,Female,Single,1.0,18.0,Mail Check,Yes
273,39,1,Yes,$30.52 ,40,Salary,63481.6,4,Laboratory,Male,Married,4.0,22.0,Mail Check,Yes
274,60,13,No,$43.28 ,40,Salary,89814.4,50,Manufacturing,Female,Single,2.0,12.0,Mail Check,Yes
275,43,8,Yes,$80.75 ,40,Salary,167960.0,89,Research,Female,Single,6.0,12.0,Mail Check,No
276,44,14,No,$33.29 ,40,Salary,40123.2,66,Sales,Male,Divorced,1.0,18.0,Direct Deposit,No
277,25,2,No,$21.59 ,40,Salary,44907.2,87,Sales,Female,Married,2.0,8.0,Direct Deposit,Yes
278,27,6,Yes,$21.26 ,40,Salary,44220.8,7,Research,Female,Single,2.0,20.0,Mail Check,Yes
279,37,1,Yes,$26.00 ,40,Salary,54080.0,36,Research,Female,Single,4.0,21.0,Mail Check,Yes
280,47,5,No,$75.05 ,40,Salary,156104.0,51,Sales,Female,Single,6.0,20.0,Mail Check,Yes
281,60,12,Yes,$39.14 ,40,Salary,81411.2,66,Sales,Female,Divorced,8.0,8.0,Mail Check,Yes
282,58,8,No,$34.45 ,40,Salary,71656.0,2,Laboratory,Female,Single,1.0,8.0,Mail Check,Yes
283,42,6,Yes,$70.14 ,40,Salary,145891.2,53,Sales,Male,Divorced,9.0,18.0,Direct Deposit,Yes
284,35,8,Yes,$23.32 ,40,Salary,48505.6,69,Manufacturing,Female,Single,2.0,14.0,Mail Check,Yes
285,50,9,No,$32.98 ,40,Salary,68598.4,12,Information_Technology,Male,Divorced,1.0,12.0,Direct Deposit,Yes
286,61,12,No,$33.48 ,40,Salary,40528.4,8,Sales,Female,Divorced,6.0,22.0,Mail Check,Yes
287,43,3,No,$47.45 ,40,Salary,98696.0,7,Human_Resources,Female,Married,3.0,13.0,Direct Deposit,Yes
288,30,6,Yes,$25.63 ,40,Salary,53310.4,250,Information_Technology,Female,Married,2.0,25.0,Mail Check,Yes
289,55,8,No,$53.38 ,40,Salary,111030.4,67,Marketing,Male,Single,6.0,19.0,Mail Check,Yes
290,53,18,Yes,$96.79 ,40,Salary,201323.2,74,Laboratory,Female,Married,4.0,24.0,Direct Deposit,Yes
291,34,4,Yes,$25.83 ,40,Salary,53726.4,250,Laboratory,Male,Married,6.0,13.0,Mail Check,Yes
292,32,2,Yes,$22.73 ,40,Salary,47278.4,5,Healthcare,Male,Married,3.0,11.0,Mail Check,Yes
293,41,10,Yes,$87.69 ,40,Salary,282395.2,6,Sales,Female,Single,1.0,14.0,Mail Check,Yes
295,34,4,No,$26.35 ,40,Salary,54808.0,250,Sales,Male,Divorced,6.0,9.0,Mail Check,Yes
296,47,5,No,$96.24 ,40,Salary,200179.2,25,Laboratory,Female,Single,3.0,16.0,Mail Check,Yes
298,48,12,Yes,$91.80 ,40,Salary,330944.0,1,Research,Female,Married,2.0,22.0,Mail Check,Yes
299,57,11,Yes,$91.22 ,40,Salary,289737.6,80,Sales,Female,Single,7.0,9.0,Direct Deposit,Yes
300,61,19,No,$33.88 ,40,Salary,70470.4,85,Research,Male,Married,8.0,21.0,Mail Check,Yes
302,36,5,Yes,$97.02 ,40,Salary,202801.6,250,Laboratory,Male,Single,2.0,7.0,Direct Deposit,Yes
304,48,14,Yes,$61.75 ,40,Salary,128440.0,54,Information_Technology,Male,Married,3.0,13.0,Mail Check,Yes
305,53,12,No,$97.96 ,40,Salary,203756.8,31,Sales,Female,Married,1.0,24.0,Direct Deposit,Yes
308,34,4,No,$29.21 ,40,Salary,59396.8,4,Marketing,Female,Single,3.0,21.0,Mail Check,Yes
310,54,8,No,$89.66 ,40,Salary,286492.8,64,Sales,Male,Divorced,1.0,25.0,Mail Check,Yes
311,33,8,No,$22.96 ,40,Salary,47756.8,37,Sales,Male,Single,3.0,9.0,Mail Check,Yes
312,38,3,Yes,$30.50 ,40,Salary,63440.0,250,Laboratory,Female,Single,2.0,13.0,Mail Check,Yes
313,57,5,No,$57.51 ,40,Salary,133620.8,77,Manufacturing,Male,Married,4.0,8.0,Mail Check,Yes
315,54,17,Yes,$43.63 ,40,Salary,90750.4,32,Healthcare,Male,Divorced,2.0,12.0,Mail Check,Yes
316,44,17,Yes,$64.13 ,40,Salary,133390.4,61,Marketing,Female,Divorced,3.0,8.0,Direct Deposit,Yes
317,49,18,Yes,$60.48 ,40,Salary,125798.4,250,Laboratory,Male,Single,1.0,5.0,Mail Check,Yes
318,43,4,No,$69.47 ,40,Salary,144497.6,41,Manufacturing,Female,Divorced,5.0,9.0,Mail Check,Yes
319,61,14,No,$60.17 ,40,Salary,125153.6,10,Human_Resources,Female,Single,1.0,7.0,Mail Check,Yes
