Price,SquareFootage,NumBathrooms,CrimeRate,SchoolRating,RenovationQuality,LocalAmenities,DistanceToCityCenter,Garage
360053.6851,1002.14,1.281793539,0.78,6.81,7.7,2.61,29.1,0
478799.9918,1040.5,1.602571713,21.78,7.81,3.9,5.42,7.56,1
230289.9546,1539.74,1.284889485,20.27,5.46,3.84,1.69,32.9,0
307315.345,1666.63,1.866804699,7.24,1.35,3.07,8.47,32.72,0
528618.8707,1112.56,1.41885763,47.96,4.01,5.27,9.54,33.08,1
98378.32224,844.84,1.611118351,19.26,8.7,3.67,6.47,53.14,1
692732.5812,1615.39,2.753904538,49.62,4.86,3.8,6.46,12.25,1
422653.6677,1883.99,2.725634492,36.72,4.07,3.32,7.99,8.56,1
606809.1906,1789.18,4.740971647,23.52,5.67,5.79,7.94,20.6,1
257544.0629,576.07,3.135533378,17.39,5.66,4.68,4.54,4.34,1
334199.9353,1289.46,1.087242539,41.11,8.56,5.52,4.9,23.49,1
284255.1623,1046.87,1.36184282,16.2,5.49,4.24,9.23,25.08,1
108250.9154,678.79,1.545631325,12.69,6.36,0.54,4.19,27.32,0
138047.5627,679.42,1.324548657,11.39,6.62,5.3,4.69,28.79,0
234564.8609,934.7,2.47374336,29.8,6.09,4.21,0.65,15.81,0
252944.9569,589.22,1.983390394,43.84,5.24,5.43,5.96,37.08,0
170641.265,1578.36,1.875565541,68.22,6.01,6.97,6.68,0.38,0
455997.1118,1348.73,4.652153243,40.51,9.17,6.45,9.3,15.5,0
779931.8759,2246.07,4.545388328,0.41,10.0,9.28,10.0,4.09,0
211883.045,1067.3,3.391638755,11.73,6.06,8.04,0.07,29.33,0
370207.3866,1543.39,3.147573502,13.03,10.0,6.93,3.3,8.52,1
235334.2782,550.0,2.585912865,2.7,8.18,4.13,1.91,24.87,0
207397.7233,550.0,1.917773456,27.16,6.97,1.27,8.98,0.82,1
633005.2522,636.25,3.620703764,30.16,4.86,8.01,7.26,12.56,1
646806.3598,1797.71,3.856885415,40.12,8.5,5.93,7.01,25.35,0
220143.6872,1335.59,1.605689015,36.23,9.46,4.66,6.39,31.97,0
224349.0624,1258.66,1.0,62.53,5.8,1.73,7.08,46.7,0
137212.5389,550.0,3.451538043,22.17,6.8,3.87,10.0,45.43,0
254020.7906,550.0,2.14279479,16.52,9.84,6.06,9.1,26.55,0
216351.837,630.03,3.581893302,69.15,7.41,6.26,9.36,9.68,1
247083.9187,1722.21,1.039936909,47.86,10.0,6.82,8.56,8.57,0
109758.7827,550.0,1.0,5.95,6.04,5.2,4.61,6.64,1
146397.9284,603.44,1.0,32.85,7.61,6.41,7.9,21.44,1
173722.5743,550.0,2.991104856,57.18,4.73,2.68,10.0,3.89,1
204115.2013,879.8,1.315377058,44.64,6.96,4.69,2.59,11.38,1
260976.6665,550.0,3.914265229,7.87,8.59,7.14,3.37,28.47,0
395125.7018,1230.69,1.099097782,43.25,6.06,9.34,7.12,5.49,1
497692.5176,2137.72,1.698082102,11.07,8.32,5.42,6.07,10.32,1
535835.6644,1057.2,1.82538522,4.54,9.13,9.17,4.88,1.64,1
226768.2603,913.16,2.128198377,73.02,6.1,3.11,10.0,10.13,0
310305.5598,957.72,1.765776311,29.57,5.44,4.55,9.27,32.91,1
276203.9201,1066.25,1.464714733,47.32,7.61,4.03,5.18,23.71,0
331247.0143,1441.86,1.129783364,40.12,7.75,6.47,7.08,15.05,0
374402.1233,1048.33,1.985677469,58.99,6.62,5.49,7.79,10.85,0
259757.602,1316.69,1.938191011,36.08,5.08,4.83,5.73,17.24,0
118735.8676,637.96,1.668226322,19.21,5.34,3.87,3.23,0.67,0
280920.0402,1368.39,1.522661397,36.67,8.86,6.57,5.95,27.49,0
202463.8609,1001.67,2.252086593,32.39,7.37,5.91,9.42,18.77,1
543193.7648,1812.59,2.44672782,52.88,7.22,6.86,5.57,28.98,0
410357.2197,939.55,3.137903025,16.84,5.86,9.1,3.2,16.56,1
173809.6441,1125.06,2.723276355,30.84,6.58,3.53,5.31,3.19,0
217171.6912,1269.84,1.0,25.79,4.32,6.41,5.17,0.02,0
389877.9007,1247.08,3.372249394,22.63,9.05,4.91,3.76,9.34,0
208419.3752,916.2,1.00207984,2.78,9.57,4.15,6.59,26.48,0
370495.3218,1375.84,2.623327731,26.18,9.92,5.11,7.42,3.15,1
103212.0744,550.0,1.0,49.0,4.22,3.13,2.18,7.26,0
127574.0886,732.92,1.666020061,39.45,5.21,4.19,0.15,17.92,0
166450.4353,975.15,1.878177558,10.18,6.32,4.68,10.0,10.09,1
309631.4746,1868.73,2.284886684,51.17,5.86,6.4,6.46,3.13,0
196204.535,909.16,1.082539977,14.46,9.76,4.78,3.18,12.1,0
249538.9243,979.58,2.159239943,18.19,6.74,4.47,4.47,8.24,1
799996.2481,1931.09,3.066609131,8.75,10.0,6.76,6.53,28.01,0
544763.5776,1769.01,2.15789403,12.43,7.92,7.39,6.49,25.5,1
312296.6703,936.96,3.497100183,64.24,8.76,3.09,10.0,1.57,0
164903.4879,873.02,1.671878436,6.9,3.86,2.97,2.77,10.77,0
182897.1964,937.32,1.0,5.04,6.73,3.44,4.56,16.59,0
375795.8439,891.62,2.994777105,55.85,7.33,2.34,3.92,1.34,0
150830.2384,550.0,1.796173542,8.63,7.28,2.01,4.59,24.97,1
98879.35132,550.0,1.286405765,41.57,6.49,2.81,10.0,29.51,0
304631.685,696.5,3.160257716,32.57,5.11,5.27,8.12,9.61,0
225726.3565,550.0,3.921931003,46.13,7.36,6.68,4.6,5.03,1
155684.9643,550.0,2.52254682,42.44,3.19,2.35,7.79,32.58,0
299223.8467,1457.95,3.608950566,43.05,4.2,4.17,10.0,11.68,0
415007.0335,696.81,1.427269031,54.19,5.77,4.83,0.33,1.89,0
142240.2358,1041.16,1.11935841,67.75,5.86,5.29,7.35,20.81,1
374959.758,1655.1,1.0,8.28,6.29,5.92,10.0,12.15,1
229519.262,1509.02,1.0,15.76,7.53,2.28,7.38,9.82,1
255087.7075,561.16,1.0,35.22,10.0,6.41,9.19,34.8,1
379489.2465,1331.4,1.392339529,8.65,6.0,6.84,8.13,1.28,0
216757.3556,1404.98,1.590590446,12.46,8.32,4.88,3.88,34.76,1
160474.9654,550.0,2.512785685,22.66,6.29,4.34,2.45,47.86,1
253375.0876,869.01,1.0,28.99,6.48,5.86,7.57,19.03,0
254400.6244,765.65,1.254242396,12.9,5.77,3.93,4.96,13.31,1
120748.6048,1099.81,1.0,74.47,3.21,2.15,8.22,36.64,1
210881.4665,1481.33,1.13651921,21.49,6.51,5.05,8.2,14.53,0
308427.1324,550.0,3.532642443,31.81,7.53,6.21,10.0,13.75,1
655324.1759,1356.47,2.446400298,32.25,8.38,6.04,8.61,1.45,0
969059.6957,1259.29,4.215965427,29.5,10.0,8.74,7.08,15.3,0
461748.4582,1173.15,1.884403795,34.46,7.19,2.04,4.56,6.03,1
233971.9901,550.0,1.0,68.61,7.11,5.05,10.0,22.87,1
748256.0279,1842.17,2.913336189,56.05,10.0,5.76,2.53,13.22,0
227469.3042,1301.32,1.44372734,3.54,8.65,6.51,8.97,11.38,1
319230.5488,1010.17,1.0,59.67,8.94,5.01,10.0,14.86,0
136281.9799,1167.09,1.357589204,35.05,6.82,5.29,4.34,24.77,0
362981.6337,550.0,3.488118422,36.6,6.35,5.26,6.01,17.58,0
284596.5952,1219.82,3.566419789,21.92,8.44,6.97,1.19,32.93,0
241041.2506,1154.99,3.00564649,21.72,7.22,5.38,5.94,22.92,0
149161.886,925.54,1.513142212,36.94,4.98,3.99,6.17,27.03,0
276656.5065,1995.41,2.138157766,73.03,7.81,7.13,6.46,15.15,0
410697.6667,939.61,1.061996769,10.14,8.7,3.24,3.05,2.35,0
353477.4283,1655.56,3.223624288,28.7,6.14,5.43,3.61,10.95,0
356183.7097,1653.71,1.696421635,23.44,8.39,6.9,3.36,39.91,0
798826.0426,2069.92,1.805969665,23.31,10.0,7.06,7.09,15.11,0
222852.3977,550.0,1.0,67.53,4.71,2.3,5.74,17.15,0
249815.1871,1592.1,1.884257528,55.69,8.92,4.14,8.43,12.04,0
166987.0495,1177.13,1.0,59.04,8.28,5.18,5.19,24.51,1
145718.0224,550.0,1.0,53.61,6.23,0.76,6.42,32.04,0
217954.655,550.0,2.904112595,14.42,8.41,4.65,5.2,10.21,0
442071.1893,1952.56,1.691828801,24.88,7.96,2.72,10.0,16.11,1
319396.2929,974.62,1.0,0.56,9.53,8.12,8.01,15.75,1
404764.9182,1442.25,3.088652025,10.33,7.4,6.23,1.56,22.0,0
720948.6752,2170.86,4.104887589,0.92,10.0,8.34,4.56,1.79,0
151561.3852,700.38,1.0,28.13,6.09,6.71,7.79,12.74,1
129968.5095,943.64,1.428392737,0.66,7.3,3.34,6.01,27.34,0
280525.7092,955.04,1.0,33.79,9.61,8.35,2.72,3.51,0
358729.7227,736.19,2.515885745,40.65,7.38,7.19,7.18,13.34,0
704512.7722,1939.46,3.73745919,13.31,7.65,4.95,7.5,36.21,1
470238.5325,1362.96,4.74011897,57.37,8.02,7.52,9.06,13.55,0
284396.0632,550.0,1.943919579,27.49,6.52,5.87,6.93,27.86,0
455562.132,1255.38,3.070620869,54.16,8.53,6.82,9.91,3.53,0
448231.5409,1588.03,2.43644941,5.1,10.0,6.64,2.86,10.23,1
261273.8014,1505.35,1.0,32.63,5.92,3.78,7.33,14.29,0
274343.871,550.0,1.707638175,28.31,6.26,2.39,1.28,14.53,0
354094.8412,550.0,3.633748742,33.56,5.16,3.05,8.1,28.01,0
110505.7101,654.07,1.827370422,8.29,8.23,3.81,3.1,17.13,0
171977.7174,1012.69,1.0,4.18,4.31,2.9,5.95,2.51,0
178009.8491,1052.32,1.217644474,28.25,5.74,3.53,7.43,2.73,1
130890.354,728.55,1.983124008,12.46,5.02,3.94,7.12,16.04,0
271626.442,1381.83,1.982966373,6.93,8.27,7.72,6.65,2.17,1
249751.8563,1236.0,3.647472898,23.15,10.0,7.31,7.66,52.88,0
101762.9942,1168.46,1.0,29.58,3.46,5.73,8.36,12.09,0
401584.651,600.25,1.384366953,19.99,6.48,6.01,9.18,20.55,1
207601.5597,904.42,1.063157929,30.02,5.32,5.5,3.7,20.21,0
165832.1784,550.0,1.053248886,56.31,5.28,2.77,6.26,7.27,0
370626.9651,1723.29,3.000835312,24.06,7.94,8.98,8.65,5.27,1
229867.2818,742.01,1.514002894,49.15,3.14,4.51,9.06,31.85,0
261299.0612,876.01,3.898355928,7.12,8.2,7.93,7.25,1.6,0
201083.057,920.33,1.193042219,42.05,7.61,0.49,5.1,49.89,0
289915.2581,662.53,2.159927669,46.56,7.5,7.49,6.55,19.9,1
500787.2489,1437.02,2.309452987,7.73,7.02,9.08,5.94,22.41,0
453167.7797,1057.49,1.795121972,81.73,6.44,5.25,9.34,38.51,0
468592.981,1412.1,1.503920906,44.88,6.25,7.36,5.41,8.39,1
643648.7488,1865.64,3.131632596,22.83,9.34,6.88,7.53,0.78,0
284846.2384,1343.09,1.690492516,22.15,7.46,4.41,7.6,3.29,0
165266.5131,561.26,1.0,34.14,4.99,1.78,3.11,21.56,1
113423.8569,1154.96,2.023466184,8.02,9.5,4.49,1.59,3.4,0
400906.5969,1138.68,2.520716266,73.34,6.65,8.14,7.82,12.12,1
390164.8623,1806.26,2.093982372,20.55,7.75,5.14,3.83,3.58,0
187995.7479,550.0,1.0,41.95,7.62,2.09,1.54,15.7,0
334882.4909,762.18,2.247852315,7.18,6.33,5.84,4.98,8.24,1
133991.8721,1021.28,1.588290693,14.06,6.03,4.4,2.56,16.94,0
384299.924,1257.82,1.050886021,8.17,4.91,2.14,0.15,27.73,0
173253.2882,768.6,1.192520251,41.28,6.2,4.51,7.13,10.69,0
365160.8737,1705.01,2.31375477,19.13,4.34,6.16,6.7,22.22,0
315110.2214,1318.78,1.724062752,16.96,5.52,3.48,9.88,25.24,0
544722.7857,1396.01,2.963864091,67.25,7.96,7.2,2.38,8.35,0
103024.6398,664.28,1.565668607,39.91,8.76,4.22,2.45,10.55,1
236584.1873,964.97,1.54603265,33.85,7.31,5.1,8.76,8.0,0
407629.4936,785.82,1.296052258,29.56,6.59,4.15,4.61,20.99,1
506388.8471,801.77,1.571140719,36.55,7.19,4.21,5.02,20.33,0
297285.8169,1281.8,3.396545189,50.4,7.34,8.09,7.9,2.22,0
290957.0203,1033.09,1.564856005,2.94,4.3,3.45,3.14,0.04,0
350479.6175,1169.45,1.0,21.98,7.46,5.15,5.01,13.3,1
179465.1961,550.0,2.425445151,24.34,8.58,3.57,6.74,7.31,1
510530.1082,1125.23,2.879806468,38.18,8.43,4.91,7.94,16.28,0
447293.5671,1261.09,3.281116906,22.74,6.45,5.48,5.94,23.95,0
312074.1011,586.41,1.907082228,50.89,6.52,3.53,7.99,27.44,0
143197.3936,1225.68,1.857548259,50.76,7.72,2.79,3.71,4.78,0
118334.6332,550.0,1.789850862,61.17,1.35,4.53,7.93,37.11,0
99325.70034,796.75,2.080707923,61.69,5.31,3.77,7.31,2.66,1
104773.5017,550.0,1.259251883,41.66,2.8,0.82,0.84,50.45,1
236450.6019,748.14,1.934062544,1.62,6.01,5.49,5.3,16.81,0
163532.6969,782.04,2.24091868,52.54,6.15,4.05,1.38,32.58,1
452987.9875,1581.56,3.154247646,17.49,10.0,6.51,6.61,29.35,0
313470.0031,826.67,1.0,12.81,8.7,6.16,8.95,15.34,0
380770.1555,1151.93,3.19740751,65.77,4.67,4.41,7.06,18.47,1
411243.601,1231.08,2.536132733,61.57,8.62,5.65,8.1,33.69,0
256564.7699,550.0,1.323756679,60.43,5.64,2.6,7.19,20.31,0
251183.1563,1162.8,1.553396215,19.53,6.91,4.59,4.71,8.28,0
155965.7046,1062.47,1.780468613,8.68,4.27,2.34,2.97,3.44,0
180707.6909,810.88,2.708799163,45.42,3.96,4.12,9.89,17.03,0
206294.6469,643.02,3.866119348,45.33,6.55,4.24,6.43,11.0,0
93883.51932,550.0,1.0,10.07,3.12,3.58,1.76,19.86,0
172888.1978,550.0,1.0,4.6,6.99,5.61,6.2,26.43,0
232326.4253,550.0,2.017275534,29.97,6.17,4.31,4.18,16.33,1
210467.5593,1208.45,1.0,16.9,5.65,5.79,7.3,1.55,0
237388.69,550.0,1.939942627,36.44,5.1,3.26,6.85,5.28,0
497529.3938,1370.13,2.34314227,60.61,6.57,2.21,3.45,21.33,0
137084.6115,576.05,1.0,33.8,4.28,4.03,9.94,6.39,0
312374.5689,1295.0,1.0,42.76,5.88,6.16,4.4,40.38,0
530691.8255,676.49,3.222117992,37.66,9.4,9.02,6.68,13.62,1
238569.6214,965.44,2.950068167,43.53,3.99,1.89,3.35,43.15,0
272776.072,939.03,1.26769942,50.24,9.02,7.15,4.04,27.9,1
280135.5817,1085.52,1.177774041,61.43,7.2,3.91,0.32,27.8,0
574520.8943,1953.8,1.992746227,21.96,7.88,6.13,9.3,2.53,0
162605.8875,690.37,1.0,8.53,4.94,3.07,5.64,22.2,0
282254.4151,963.92,1.102536202,58.49,5.37,3.25,7.97,21.7,0
523913.4523,1499.56,3.136055407,50.21,5.06,4.53,5.37,14.99,0
268097.0147,550.0,3.797646934,29.23,9.05,6.06,2.74,12.27,0
330576.3618,1247.11,3.585773676,29.86,7.64,4.77,5.79,7.91,1
262653.3923,878.0,3.270514636,44.28,4.95,3.62,4.06,6.0,1
162547.0472,550.0,1.0,11.54,7.24,3.54,2.7,40.58,1
274124.9918,1403.53,3.9193983,36.97,8.74,6.0,2.6,18.07,1
175680.1302,906.93,1.122152992,40.62,6.91,7.27,3.59,10.02,0
177882.2157,550.0,1.364844596,20.36,8.9,5.61,3.98,13.45,1
340979.9018,661.11,2.775331157,44.34,8.26,4.09,3.88,13.2,1
111889.5615,1280.96,1.207350353,14.58,2.68,2.3,3.01,22.95,1
358367.7787,1778.96,1.947880623,27.53,4.24,3.15,6.02,17.93,1
265278.7319,1320.1,2.289294646,25.26,6.06,6.34,5.52,1.81,1
323896.9028,858.35,1.477449898,47.3,7.24,3.57,3.7,20.47,0
620197.351,1956.12,3.46170632,17.69,9.04,5.55,3.69,19.65,1
134130.7502,550.0,1.340437138,63.37,7.98,7.26,8.43,22.49,0
304931.3849,1110.45,1.247922529,42.13,10.0,6.07,9.59,63.89,1
335756.0143,1164.13,3.115466002,47.36,6.29,2.83,3.07,18.66,1
372249.6346,1651.53,1.290733329,2.02,5.18,3.4,10.0,47.0,0
520589.6866,1590.37,3.504338905,41.33,6.56,4.95,6.37,7.16,0
411343.6274,603.82,1.684764766,40.73,6.09,6.76,7.98,1.74,1
571526.5617,1647.31,1.322820383,6.45,7.18,4.19,10.0,12.83,0
245104.5692,873.9,1.853306629,41.15,4.96,1.52,1.66,37.71,0
235613.132,550.0,1.389053349,18.98,5.89,1.5,6.04,39.29,0
108935.8619,988.76,1.917077859,20.57,4.69,6.23,2.9,29.03,0
497908.5102,1891.21,1.470098013,11.61,10.0,5.6,4.41,0.36,0
174200.3734,1180.83,1.437698164,12.76,7.45,2.96,3.55,3.22,0
322341.8634,1272.81,3.374807467,33.62,9.09,5.23,10.0,26.87,1
145942.1369,1044.43,1.0,15.89,7.26,2.17,2.11,15.53,0
118104.4673,550.0,1.0,23.32,4.63,3.81,3.1,18.28,1
412440.005,1617.38,1.0,77.41,3.49,3.74,8.13,8.47,0
238343.9376,577.36,1.996181565,39.47,9.35,3.54,10.0,54.38,0
122930.8342,550.0,1.0,32.58,2.76,4.08,4.1,8.55,1
246206.4743,550.0,2.805610068,39.33,8.63,8.44,0.79,30.45,0
147760.8634,550.0,1.295570261,75.51,5.51,1.89,9.07,11.81,0
165566.0579,550.0,2.2403128,9.63,6.24,3.87,9.66,27.58,0
109258.2332,874.34,1.062189133,60.21,5.93,5.01,3.77,11.86,0
527307.9088,550.0,1.558502501,23.11,5.59,5.27,7.68,31.25,0
780190.8628,2068.82,2.315746015,37.98,8.67,9.35,7.92,4.29,1
157587.7771,550.0,1.0,43.98,3.76,2.87,7.35,39.97,0
235908.2389,1162.7,1.027098979,30.6,4.35,5.43,7.35,36.35,0
161223.6344,550.0,1.0,49.3,5.02,1.96,7.79,19.95,0
201849.2072,1100.88,1.0,37.59,6.57,4.37,10.0,24.68,0
123104.0484,734.59,1.165419611,5.72,5.3,4.94,5.5,14.3,0
155727.5636,550.0,2.341744799,4.07,5.95,6.56,5.1,3.12,0
421368.8869,1726.12,4.056114691,34.06,5.82,5.31,9.84,17.6,1
111529.805,1262.83,1.301229666,46.48,4.57,4.92,1.3,21.21,0
565338.9769,1207.93,1.0,3.65,7.59,4.44,5.38,16.04,1
363985.391,778.54,2.993726513,25.78,5.78,6.04,2.33,0.79,0
733103.4288,1377.9,3.615851772,43.93,7.98,6.9,6.93,2.26,0
316592.6204,1386.37,1.732594418,48.09,7.14,6.34,6.99,4.47,1
172521.4329,642.36,1.348362691,23.25,8.04,3.45,10.0,11.26,0
258308.4169,860.54,2.367229102,23.29,5.81,4.7,8.28,21.53,0
175781.7126,550.0,1.229778797,30.07,5.88,3.21,2.3,2.96,1
192044.4362,708.47,3.351500898,1.93,7.48,2.57,10.0,8.48,0
193488.1005,816.16,1.793404252,1.27,6.35,4.26,6.5,24.52,1
305813.1243,1214.59,2.353684779,27.82,6.5,6.52,8.07,27.23,0
103436.2248,550.0,1.0,30.13,8.82,6.3,5.44,3.87,0
242450.3356,550.0,1.023159862,37.58,6.8,1.73,9.01,12.53,1
675749.7362,1726.85,2.419151566,14.61,5.2,4.6,10.0,4.86,0
318126.9653,1143.1,1.489469318,45.32,7.83,6.3,6.16,26.59,1
206316.8392,550.0,3.408195989,7.15,6.29,0.43,7.65,4.3,1
397238.4498,1653.32,1.949173314,52.73,7.55,5.2,6.84,22.17,0
115156.9002,550.0,1.605518391,16.6,3.73,2.99,5.26,35.49,0
233534.837,1332.25,2.564572198,26.55,8.77,5.52,10.0,39.34,1
265015.4048,1184.13,3.210561138,20.35,8.69,4.82,10.0,5.09,0
542916.9681,957.1,2.203076038,44.63,8.06,4.92,3.62,27.19,1
314737.1867,550.0,3.406887495,8.96,10.0,7.67,9.81,21.61,1
234433.7794,725.74,1.0,23.4,6.55,5.18,1.62,3.28,0
204687.7228,1119.65,3.17511348,23.73,6.46,6.09,5.76,30.22,1
624004.5467,1333.3,2.776923012,40.56,9.87,7.81,10.0,8.38,0
192100.1045,879.37,1.0,3.07,9.59,4.42,7.18,18.6,0
220351.6395,550.0,1.0,23.03,4.6,3.34,6.24,13.89,0
679097.4556,2010.62,2.857315408,5.37,8.71,9.91,7.82,2.15,1
205922.9258,550.0,1.0,91.47,5.48,2.22,9.03,33.59,0
145164.6243,982.12,1.270575293,37.93,8.64,4.05,3.2,22.46,0
336955.922,1198.87,2.470622097,18.69,6.92,6.37,2.45,17.13,0
466709.337,831.53,2.096109951,13.15,9.23,4.2,6.92,8.18,0
324337.8834,1486.63,2.794933919,21.19,3.98,4.8,4.03,4.57,0
445058.7417,1366.81,2.751702913,34.34,10.0,8.23,10.0,7.74,0
340097.7088,821.19,2.016830748,59.45,7.45,4.8,3.17,21.59,1
257093.7751,1258.17,1.953138383,0.88,8.59,3.18,2.45,10.45,0
352999.1133,1690.71,1.41937503,30.13,8.88,6.04,6.39,9.86,0
152467.1669,550.0,1.438215632,70.32,5.26,1.31,10.0,28.16,0
511448.6747,728.22,3.590740405,33.2,10.0,7.3,9.51,24.92,0
248336.565,550.0,1.647929831,23.87,5.85,2.57,8.23,32.78,1
155146.8993,639.37,1.069706185,35.1,8.38,0.09,3.9,5.41,1
177944.3403,891.4,1.924846261,43.9,5.65,4.4,8.22,17.72,0
277389.5276,907.52,1.015720333,55.84,10.0,7.22,7.99,10.18,0
126108.4073,662.79,2.085815753,65.46,7.45,6.12,8.18,26.34,1
405334.8917,1228.64,2.492585287,31.0,9.11,7.61,3.71,34.14,0
129571.1343,550.0,3.027380353,42.87,5.57,1.34,7.75,6.09,1
503922.7306,1025.74,3.238399722,16.47,6.36,7.03,6.83,17.25,1
631038.2748,1301.89,2.752838541,49.21,8.88,6.14,6.42,8.98,1
516799.3191,1866.75,4.206168344,16.52,8.15,8.57,3.04,2.07,0
142639.1425,908.42,1.0,48.12,7.15,3.63,5.6,27.84,0
202084.3426,732.5,1.626907461,18.9,6.6,4.61,2.7,27.82,0
348991.4784,1398.64,1.0,24.14,10.0,7.43,8.36,4.22,0
235364.9007,575.16,2.295370006,42.17,5.74,4.03,0.2,22.33,0
342576.4266,1058.22,1.0,30.52,6.75,5.3,7.03,24.74,1
184100.4687,628.32,1.564672464,3.83,8.35,3.09,4.17,31.04,1
461983.6949,1629.07,2.472161786,22.94,10.0,5.53,10.0,32.5,0
